"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","Arabic grammar [19th century]","

        The paper used in the manuscript is European paper without watermark. There is no page number, but it has catchword under the text. There is no cover attached to the manuscript. The text was written in prose using black and red ink. The manuscript consists of 1 text about Arabic grammar. The first and last pages are missing. The manuscript was hand written. The physical condition of the manuscript is damaged because of insects, especialy at the bottom side. There is trace of water, especially at first and last sheet. The measurement of the manuscript is 23x16 cm, and the block text is 12x7cm, and 13 lines in each page.

                  
            
              
              View images from this file (28)
            
          
              ","EAP329/1/1","28 TIFF images","Manuscript","File","Arabic","Arabic","19th century","Access is for research purposes only."
"2","Text on Qu'ranic exegesis; al-Khafi surah [19th century]","

        The paper used in the manuscript is European paper without watermark. There is no page number, but it has catchword under the text. There is no cover attached to the manuscript. The text was written in prose using black ink. The manuscript consists 1 text, that is about Qur'anic exegesis; al-Kahfi surah. The pages are not complete, because the last page is missing. The manuscript was hand written. The physical condition of the manuscript is damaged by insects, especially aroun the borders. The ink also bite the papers. There is also trace of water. The measurement of the manuscript is 24x17 cm, the block text is 13x9 cm, and 12 lines in each page.

                  
            
              
              View images from this file (24)
            
          
              ","EAP329/1/2","24 TIFF images","Manuscript","File","Arabic","Arabic","19th century","Access is for research purposes only."
"3","Text concerning Islamic law [19th century]","

        The paper used in the manuscript is European paper with chain and laid lines. There is no page number, but it has catchword. under the text. There is no cover attached to the manuscript. The text was written in prose using black and red ink. The manuscript consists of 1 text, that is about Islamic law. The pages are not complete. First and last pages are missing. The manuscript was hand written. The physical condition of the manuscript is damaged by insects and humidity. There is also trace of water. The measurement of the manuscript is 21.5x15.5 cm, the block text is 13x9 cm, and 11 lines in each page.

                  
            
              
              View images from this file (86)
            
          
              ","EAP329/1/3","86 TIFF images","Manuscript","File","Arabic","Arabic","19th century","Access is for research purposes only."
"4","Sufic texts [18th century]","

        The paper used in the manuscript is European paper with watermark of three crescents with moonface. There is no page number, but it has catchword under the text. There is no cover attached to the manuscript. It is mentioned in the colophon that the author finished writing in 1237H (1821M). The text was written in poetry form using black and red ink. The manuscript consists of 2 texts, those are about sufism and its philosophy. The first text was composed by Teungku Usi Muhammad Saleh, and the second by Teungku Muhammad Khatib Langgien. Both texts are complete. The manuscript was hand written. The physical condition of the manuscript is damaged by insects. The colour of papers becomes dark. The measurement of the manuscript is 22x16 cm, the block text is 17x10,5 cm, and 24 lines in each page.

                  
            
              
              View images from this file (82)
            
          
              ","EAP329/1/4","132 TIFF images","Manuscript","File","Achinese, Arabic","Arabic","18th century","Access is for research purposes only."
"5","Hud Huda [19th century]","

        The paper used in the manuscript is European paper without watermark. There is no page number, but it has catchword under the text. There is no cover attached to the manuscript. The text was written in prose using black and red ink. The manuscript consists of 1 text, that is about Islamic law. The first and last pages are missing. The manuscript was hand written. The physical condition of the manuscript is damaged by insects around the borders and in the middle of binding. The papers are also broken by ink in some parts. The measurement of the manuscript is 20x16 cm, the block text is 11x8 cm, and 11 lines in each page.

                  
            
              
              View images from this file (52)
            
          
              ","EAP329/1/5","52 TIFF images","Manuscript","File","Arabic","Arabic","19th century","Access is for research purposes only."
"6","Bidayat al-Mubtadi [18th century]","

        The paper used in the manuscript is European paper with watermark three crescents. There is no page number, but it has catchword under the text. There is no cover attached to the manuscript. The text was written in prose using black and red ink. The manuscript consists of 1 text, that is about Islamic law. The page is missing. The manuscript was hand written. The physical condition of the manuscript is damaged by insects. Ther is also trace of water. The colour of ink is fading. The measurement of the manuscript is 23x17 cm, the block text is 15x11 cm, and 21 lines in each page.

                  
            
              
              View images from this file (82)
            
          
              ","EAP329/1/6","82 TIFF images","Manuscript","File","Malay, Arabic","Arabic","18th century","Access is for research purposes only."
"7","""Four texts: theology, salawat, zikr [19th century]""","

        The paper used in the manuscript is European paper without watermark. There is no page number, but it has catchword under the text. There is no cover attached to the manuscript. The text was written in poetry form using black and red ink. The manuscript consists of 4 texts, those are theology, salawat and zikr. The last page is missing. The manuscript was hand written. The physical condition of the manuscript is damaged by insects, especially at the last sheet. The colour of ink is fading. There is also trace of water. The measurement of the manuscript is 22x16 cm, the block text is 15.5x12 cm, and 19 lines in each page.

                  
            
              
              View images from this file (44)
            
          
              ","EAP329/1/7","44 TIFF fimages","Manuscript","File","Achinese","Arabic","19th century","Access is for research purposes only."
"8","Kasyf al-Kiram [18th century]","

        The paper used in the manuscript is European with watermark of eagle. There is no page number, but it has catchword under the text. There is no cover attached to the manuscript. The text was written in prose using black and red ink. The manuscript consists of 2 texts, composed by Muhammad Zain Faqih Jalaluddin al-Asyi. Those are about the Prophet tradition and explanation of intention in takbir al-Ihram. The pages are not complete. the first and last pages are missing. The manuscript was hand written. The physical condition of the manuscript is heavily broken by insects. There is trace of water. The measurement of the manuscript is 21x15.5 cm, the block text is 15x10 cm, and 19 lines in each page.

                  
            
              
              View images from this file (38)
            
          
              ","EAP329/1/8","38 TIFF images","Manuscript","File","Malay, Arabic","Arabic","18th century","Access is for research purposes only."
"9","Text concerning Islamic law [18th century]","

        The paper used in the manuscript is European paper with watermark of eagle. There is no page number, but it has catchword under the text. There is no cover attached in he manuscript. The text was written in prose using black and red ink. The manuscript consists of 1 text, that is about Islamic law. The texts are not complete. the first and last pages are missing. The manuscript was hand written. The physical condition of the manuscript is damaged by insects around the borders, and colour of papers becomes dark. The measurement of the manuscript is 22x15 cm, the block text is 14x8.5 cm, and 19 lines in each page.

                  
            
              
              View images from this file (376)
            
          
              ","EAP329/1/9","376 TIFF images","Manuscript","File","Malay, Arabic","Arabic","18th century","Access is for research purposes only."
"10","Arabic grammar [18th century]","

        The paper used in the manuscript is European paper with watermark of three crescents, and chain and laid lines. There is no page number, but it has catchword under the text. There is no cover attached to the manuscripts. The text was written in prose using black and red ink. The manuscript consists of 1 text, that is about Arabic Grammar. The first and last pages are missing. The manuscript was hand written. The physical condition of the manuscript is damaged by insects and ink. The measurement of the manuscript is 22x16 cm, the block text is 14x7.5 cm, and 17 lines in each page.

                  
            
              
              View images from this file (92)
            
          
              ","EAP329/1/10","92 TIFF images","Manuscript","File","Arabic","Arabic","18th century","Access is for research purposes only."
