"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","""Convocation, B.P. Koirala and Picnic of Communist Party [1957-1965]""","        This album consists of variety of subjects. The first few photographs of this album consists of the convocation of Tribhuvan University, the ceremony was chaired by late King Mahendra. During this ceremony, the graduation was awarded by Queen Ratna. This album also contain the photographs of the picnic organized by Nepal Communist Party. During this picnic, most of the famous leaders of Nepal communist party like Puspa Lal Shrestha, Manamohan Adhikari, Sahana Pradhan, Sadhana Pradhan were present. The same album also contain some photographs of B. P. Koirala, former and the first elected Prime minister of Nepal. It also contain the photographs of Kanti Hospital (later Kanti Children's Hospital). This album also contain the photographs of Madanmani Dixit and his family in different areas like Kalaiya, Central Zoo, Balaju Park, etc.                                                          View images from this file (233)                                    ","EAP166/1/1/1","233 TIFF images","Photograph","File","NA","NA","1957-1965","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Parliamentary committee of Nepal visit to Russia [1960]","        This album includes visit of parliamentary committee of Nepal’s visit to Russia. Madanmani Dixit also accompanied the trip. The pictures contain political leaders of that time and few pictures contain the family members of Madanmani Dixit.                                                          View images from this file (45)                                    ","EAP166/1/1/2","45 TIFF images","Photograph","File","NA","NA","1960","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","Scenery of Nepal and Flowers [1962]","        This album consists of the photographs of different places of Kathmandu valley as well as the village life around the valley. The photographer has also taken some photographs of the flowers and temples.                                                          View images from this file (31)                                    ","EAP166/1/1/3","31 TIFF images","Photograph","File","NA","NA","1962","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_3/1.jp2/full/!600,300/0/default.jpg"
"4","Negatives of Kalaiya and Singha Darbur [1962]","        This album contains Madanmani Dixit’s family and his fathers in law’s house at Kalaiaya, the district headquarter of Bara District. The same album contains some of the pictures of the Madanmani Dixit himself after being released from the jail. Some of the photographs consist of the pictures of Singha Darbur and Parliament building of Nepal.                                                          View images from this file (65)                                    ","EAP166/1/1/4","65 TIFF images","Photograph","File","NA","NA","1962","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","Alen Rana and family of Madanmani Dixit [1965]","        This album consists of the photographs of Alen Rana, inhabitant of Thamel, Kathmandu at Balaju park. The same album contain some photographs of family members Madanmani Dixit in Balaju and some political leaders.                                                          View images from this file (36)                                    ","EAP166/1/1/5","36 TIFF images","Photograph","File","NA","NA","1965","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","""Streets, Picnic and Chinese Prime Minister [1966]""","        This album covers diversity of subjects. Some initial photographs of this album consists of the streets and street life of Kathmandu City. The same album contain some photographs of a picnic organized by the Communist Party of Nepal were some communist leaders and the party activists can be seen. Last part of this album consists of the photographs of the welcoming of Chinese Prime Minister Zhou Enlai who visited Nepal in the year 1966.                                                          View images from this file (25)                                    ","EAP166/1/1/6","25 TIFF images","Photograph","File","NA","NA","1966","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","Wedding ceremony in the residence of Hridayanath Khanal [1966]","        The photographs of this album were taken during a wedding ceremony in the residence of Hridayanath Khanal, a friend of Madanmani Dixit in Biratnagar, a far eastern City of Nepal. Most of the faces in this photographs are unremembered. The same album consists of the photographs of Madanmani himself and his sons.                                                          View images from this file (33)                                    ","EAP166/1/1/7","33 TIFF images","Photograph","File","NA","NA","1966","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_7/1.jp2/full/!600,300/0/default.jpg"
"8","Family of Madanmani Dixit [1966]","        The photographs of this album contain the relatives of Madanmani Dixit in Biratnagar.                                                          View images from this file (34)                                    ","EAP166/1/1/8","34 TIFF images","Photograph","File","NA","NA","1966","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_8/1.jp2/full/!600,300/0/default.jpg"
"9","Picnic in Panauti Hydro Power [1966]","        The photographs of this album were taken during a picnic program organized in Panauti, a city located north west to Kathmandu valley. The album contain the photographs of different sites of the Hydro Power station along with some Unidentified persons.                                                          View images from this file (35)                                    ","EAP166/1/1/9","35 TIFF images","Photograph","File","NA","NA","1966","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_9/1.jp2/full/!600,300/0/default.jpg"
"10","Negatives of Political leaders [1966]","        Photographs of Political leaders, authors and Persons from various sectors. The photographs were taken during a picnic organized in Karyavinayak, Lalitpur.                                                          View images from this file (38)                                    ","EAP166/1/1/10","38 TIFF images","Photograph","File","NA","NA","1966","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_10/1.jp2/full/!600,300/0/default.jpg"
"11","Binodmani Dixit Visit to USSR and Puja in Kalaiya [1966]","        This album consists of the photographs of Binodmani Dixit during his visit to former Russia. This album also consists of some photographs of Madanmani Dixit and his family in Balaju Park and Puja (Worshiping) in Kalaiya, the town of Madanmani’s father in law.                                                          View images from this file (28)                                    ","EAP166/1/1/11","28 TIFF images","Photograph","File","NA","NA","1966","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_11/1.jp2/full/!600,300/0/default.jpg"
"12","Portrait of Nepali faces persons [1968]","        This album contains some of the places around Kathmandu Valley and persons from various sectors who are Unidentified by name by photographer himself. Some of the photographs in this album also contain some family members of Madanmani Dixit.                                                          View images from this file (32)                                    ","EAP166/1/1/12","32 TIFF images","Photograph","File","NA","NA","1968","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_12/1.jp2/full/!600,300/0/default.jpg"
"13","Madanmani Dixit in Banaras [1968]","        The photographs of this album contain the family members of Madanmani Dixit. Most of the pictures were taken during their visit to Banaras, India.                                                          View images from this file (38)                                    ","EAP166/1/1/13","38 TIFF images","Photograph","File","NA","NA","1968","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_13/1.jp2/full/!600,300/0/default.jpg"
"14","Negatives of an Engagement program and some political leaders. [1968]","        This album consists of the photographs of the engagement program and the naming ritual (Nwaran) of one of the family members of Madanmani Dixit.                                                          View images from this file (38)                                    ","EAP166/1/1/14","38 TIFF images","Photograph","File","NA","NA","1968","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_14/1.jp2/full/!600,300/0/default.jpg"
"15","Flowers and View of Kathmandu Valley [1968]","        This album consists of the photographs of some flowers, view of Kathmandu valley and some unknown persons.                                                          View images from this file (14)                                    ","EAP166/1/1/15","14 TIFF images","Photograph","File","NA","NA","1968","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_15/1.jp2/full/!600,300/0/default.jpg"
"16","""Tajmahal, India [1969]""","        The photographs of this album were taken during the visit to Tajmahal. Friends of Madanmani Dixit can be seen in the photographs. The album contain the images of different historical sites of Tajmahal and its periphery.                                                          View images from this file (32)                                    ","EAP166/1/1/16","32 TIFF images","Photograph","File","NA","NA","1969","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_16/1.jp2/full/!600,300/0/default.jpg"
"17","Madanmani Dixit visit to Poland and Former USSR [1969]","        Madanmani Dixit visit to Poland and Former USSR. Some of the photographs in this album also contain some family members of Madanmani Dixit.                                                          View images from this file (34)                                    ","EAP166/1/1/17","34 TIFF images","Photograph","File","NA","NA","1969","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_17/1.jp2/full/!600,300/0/default.jpg"
"18","Family and Friends of Madanmani Dixit [1969]","        This album contains the photographs of the family members of Madanmani Dixit. Some of the photographs of the album were taken during Maheshmani’s visit to Russia (former USSR). The same album contains some photographs taken during Madanmani’s visit to his father-in-law’s house in Kalaiya.                                                          View images from this file (51)                                    ","EAP166/1/1/18","51 TIFF images","Photograph","File","NA","NA","1969","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_18/1.jp2/full/!600,300/0/default.jpg"
"19","""Wedding, Family and Friends, political leaders and Picnic [1969-1981]""","        This album covers varieties of subjects. The initial photographs of this album consist of a marriage ceremony. After that this album contains photographs of some political leaders, friends and family members of Madanmani Dixit. The last part of this album consist some monuments of Kathmandu valley Like the Nyatapola; and also some famous places like Bir Hospital which is the first public hospital of Nepal and some traditions like brick making mostly popular in Bhaktapur.                                                          View images from this file (87)                                    ","EAP166/1/1/19","87 TIFF images","Photograph","File","NA","NA","1969-1981","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_19/1.jp2/full/!600,300/0/default.jpg"
"20","Some famous faces of Nepal [1971]","        This album contains people from different fields. The initial photographs of this album contain the family member of Mitranath Devkota, younger brother of famous poet Laxmi Parasa Devkota. Likewise, the album also contains some of the political leaders like Dr. Kesher Jung Rayamajhi, and some other well-known personalities of Nepal.                                                          View images from this file (36)                                    ","EAP166/1/1/20","36 TIFF images","Photograph","File","NA","NA","1971","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_20/1.jp2/full/!600,300/0/default.jpg"
"21","Birthday [1972]","        This album consists of the photographs taken during the celebration of birthday. But the people and person are unremembered and subject to further study.                                                          View images from this file (27)                                    ","EAP166/1/1/21","27 TIFF images","Photograph","File","NA","NA","1972","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_21/1.jp2/full/!600,300/0/default.jpg"
"22","Madanmani Dixit in Moscow Hospital [1974]","        The photographs of this album were taken during the visit of Madanmani Dixit to Moscow.                                                          View images from this file (36)                                    ","EAP166/1/1/22","36 TIFF images","Photograph","File","NA","NA","1974","Access is for research purposes only","https://images.eap.bl.uk/EAP166/EAP166_1_1_22/1.jp2/full/!600,300/0/default.jpg"
