"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","The Story of 64 magicians","

        Epic history describing 64 magic and notorious monks who shaped the way of thinking and behaviour of people in their daily life and meditation. The manuscript was believed to be widespread across Mongolian monasteries and was used for teaching history to children and was used by those who became lamas.

                  
            
              
              View images from this file (58)
            
          
              ","EAP529/1/1","58 TIFF images","Manuscript","File","Tibetan","Tibetan","1890s-1920s","Access is for research purposes only"
"2","Pray for medical healing","

        A short type of a variety of handwritten medicine manuscript, allegedly written in the Dambadarjaa monastery. The manuscript deals with calming and softening of one's mood to alleviate pain and suffering of the body.

                  
            
              
              View images from this file (37)
            
          
              ","EAP529/1/2","37 TIFF images","Manuscript","File","Tibetan","Tibetan","1890s-1920s","Access is for research purposes only"
"3","Chant text for medicine","

        Text used by lamas to chant for those who were in need of preventing illness and getting rid off infection. The text was possibly completed by a Dambadarjaa monastery lama or student.

                  
            
              
              View images from this file (150)
            
          
              ","EAP529/1/3","150 TIFF images","Manuscript","File","Tibetan","Tibetan","1890s-1920s","Access is for research purposes only"
"4","Text for medical healing","

        An extended version of a variety of medical manuscripts which deal with relieving one's suffering due to illness and injury. The text was believed to be read and chanted by a lama for those who fell ill and were in need of body and spiritual healing.

                  
            
              
              View images from this file (392)
            
          
              ","EAP529/1/4","393 TIFF images","Manuscript","File","Tibetan","Tibetan","1890s-1920s","Access is for research purposes only"
"5","Sutra for healing some illness","

        A medicine sutra guidebook for healing some types of illness. The book contains both spiritual and healing methods, with traditional medicine to be involved, to soften and eradicate some illness and disease.

                  
            
              
              View images from this file (394)
            
          
              ","EAP529/1/5","394 TIFF images","Book","File","Tibetan","Tibetan","1890s-1920s","Access is for research purposes only"
"6","Badamgarav bumsan","

        One of the best known texts among believers which was taken to eradicate 1,000 different BUZAR or sins, dirty affairs and vile acts. Once read accompanied by related rituals, he or she was believed to have become rehabilitated with high spirituality and a purified body.

                  
            
              
              View images from this file (76)
            
          
              ","EAP529/1/6","76 TIFF images","Manuscript","File","Tibetan","Tibetan","1890s-1920s","Access is for research purposes only"
"7","Jadamba sutra","

        A concise history of the teachings of Buddha which was and still is popular across Mongolian monasteries. The manuscript was considered to have been copied from generation to generation to become one of the most widespread Buddhist manuscripts in Mongolia.

                  
            
              
              View images from this file (210)
            
          
              ","EAP529/1/7","210 TIFF images","Manuscript","File","Tibetan","Tibetan","1890s-1920s","Access is for research purposes only"
"8","Dorjzoduba sutra","

        The text was and still is read mostly during a funeral process for a deceased to have him/her taken care of by Buddha in the afterlife and for sending the spirit to the heaven. The text is also read for those who have frequent bad dreams and feelings.

                  
            
              
              View images from this file (111)
            
          
              ","EAP529/1/8","111 TIFF images","Manuscript","File","Tibetan","Tibetan","1890s-1920s","Access is for research purposes only"
"9","Dorjzodba sutra","

        The text was and still is read mostly during a funeral process for a deceased to have him/her taken care of by Buddha in the afterlife and for sending the spirit to the heaven. The text is also read for those who have frequent bad dreams and feelings.

                  
            
              
              View images from this file (84)
            
          
              ","EAP529/1/9","84 TIFF images","Manuscript","File","Tibetan","Tibetan","1890s-1920s","Access is for research purposes only"
"10","Mongolian Dorjzodba sutra","

        A Mongolian text of one of the best known and widespread manuscripts. The text was and still is read mostly during a funeral process for a deceased to have him/her taken care of by Buddha in the afterlife and for sending the spirit to the heaven. The text is also read for those who have frequent bad dreams and feelings.

                  
            
              
              View images from this file (109)
            
          
              ","EAP529/1/10","109 TIFF images","Manuscript","File","Mongolian","Mongolian","1890s-1920s","Access is for research purposes only"
