"","Page Title","Description","Reference","Extent","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","བཀའ་སྲུང་གཟའ་བདུད་ཀྱི་ཕུད་གསོལ་གནམ་ལྕགས་འབར་བའི་སྤུ་གྲི་ཞེས་བྱ་བ་བཞུགས་སོ། (bka' srung gza' bdud kyi phud gsol gnam lcags 'bar ba'i spu gri zhes bya ba bzhugs so) [Mid 20th century]","

        Offering to the protector deity Rahula. Owner of original material: Hong Qi. Extent & format of original material: 1 text of 16 paper folios.

                  
            
              
              View images from this file (16)
            
          
              ","EAP727/1/1","16 Tiff Files","File","Tibetan","Tibetan","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP727/EAP727_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","དྲང་སྲོང་ཞི་བ་དང་ཁྲོ་བའི་རྒྱུན་ཁྱེར་བསྲུང་བཟློག་བསད་པའི་ལས་རིམ་བཞུགས་སོ།། (drang srong zhi ba dang khro ba'i rgyun khyer bsrung bzlog bsad pa'i las rim bzhugs so) [Early 20th century]","

        Text for daily invocation to wrathful and peaceful deities. Owner of original material: Hong Qi. Extent & format of original material: 1 text of 14 paper folios.

                  
            
              
              View images from this file (14)
            
          
              ","EAP727/1/2","14 Tiff Files","File","Tibetan","Tibetan","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP727/EAP727_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","སྲིད་ཆོས་མཚམས་ཀྱི་ཞལ་གདམས་ལས། ཆོས་སྐྱོང་སྤྱི་གྲུབ་ཀྱི་བུ་ཡི་མདེའུ་ཉུང་འཕྲིས་ཀུན་འགྲུབ་ཞེས་བྱ་བ་བཞུགས་སོ།། (srid chos mtshams kyi zhal gdams las chos skyong grub kyi bu yi mde'u nyung 'phris kun 'grub)...","

        Condensed and powerful oral instructions and teachings to the wordly assembly. Owner of original material: Hong Qi. Extent & format of original material: 1 text of 2 paper folios.

                  
            
              
              View images from this file (2)
            
          
              ","EAP727/1/3","2 Tiff Files","File","Tibetan","Tibetan","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP727/EAP727_1_3/1.jp2/full/!600,300/0/default.jpg"
"4","འཛམ་ལྷ་ལ་ཕྱག་འཚལ་ལོ།གནོད་སྦྱིན་འཛམ་ལྷ་བསྒྲུབ་པ།འགྲུབ་རྟགས་རབ་འབྲིང་ཐ་གསུམ་མ་བྱུང་བར་དུ་བཟླས་བསྒོམ་རིམ་ལ་འབད་པར་བྱེད། ('dzam lha la phyag 'tshal lo gno sbyin 'dzam lha bsgrub pa 'grub rtags rab 'bring)...","

        Gradual recitation and meditation practices for the full attainment of those of lower, intermediate and excellent capacities. Owner of original material: Hong Qi. Extent & format of original material: 1 text of 1 paper folio.

                  
            
              
              View images from this file (1)
            
          
              ","EAP727/1/4","1 Tiff File","File","Tibetan","Tibetan","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP727/EAP727_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","ཨོ་བརྒྱན་གུ་རུ་དྲག་པོ་ལ་ཕྱག་མཚལ་ལོ། (o brgyan gu ru drag po la phyag mtshal lo) [Late 19th century]","

        Invocation to Guru Padmasambhava. Owner of original material: Hong Qi. Extent & format of original material: 1 text of 6 paper folios.

                  
            
              
              View images from this file (6)
            
          
              ","EAP727/1/5","6 Tiff Files","File","Tibetan","Tibetan","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP727/EAP727_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","ཁྱུང་ནག་མེ་ཡི་སྤུ་གྲིའི་བཀྲུ་བྱ་བ་གདོན་གྲོལ་འོག་གདོན་འཇོམས་བྱེད་མེ་ཡི་སྤུ་གྲི་བཞུགས། (khyung nag me yi spu gri'i bkru bya ba gdon grol 'og gdon 'joms byed me yi spu gri bzhugs) [Late 19th century]","

        Exorcism ritual of the black garuda. Owner of original material: Hong Qi. Extent & format of original material: 1 text of 29 paper folios.

                  
            
              
              View images from this file (29)
            
          
              ","EAP727/1/6","29 Tiff Files","File","Tibetan","Tibetan","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP727/EAP727_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","སྲོག་བདག་ཐུགས་ཀྱི་ཐིག་ལེའི་བསྐུལ་བ་བཞུགས། (srog bdag thugs kyi thig le'i bskul ba bzhugs) [Late 19th century]","

        Practice to develop the essence of wisdom. Owner of original material: Hong Qi. Extent & format of original material: 1 text of 8 paper folios.

                  
            
              
              View images from this file (8)
            
          
              ","EAP727/1/7","8 Tiff Files","File","Tibetan","Tibetan","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP727/EAP727_1_7/1.jp2/full/!600,300/0/default.jpg"
"8","ཀློང་གྲོལ་ཐུགས་ཀྱི་ཐིག་ལེ་ལས།       རྡོར་སེམས་གསང་བ་འདུས་བའི་བསྐོན་ཡིག་གབ་དོན་མངོན་གསལ་སྣང་བའི་ཟླ་ཟེར་ཞེས་བྱ་བ་བཞུགས། (klong grol thugs kyi thig le las rdor sems gsang ba 'dus ba'i bskon yig gab don m)...","

        The light that irradiates the spontaneously liberated heart. Owner of original material: Hong Qi. Extent & format of original material: 1 text of 18 paper folios.

                  
            
              
              View images from this file (18)
            
          
              ","EAP727/1/8","18 Tiff Files","File","Tibetan","Tibetan","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP727/EAP727_1_8/1.jp2/full/!600,300/0/default.jpg"
"9","ཐུགས་བསྒྲུབ་གསང་བ་ཡོངས་འདུས་ལས་ཕྱག་མཚན་སྡིག་པའི་དགོས་བསྒྲུབ་མེ་ཡི་སྤུ་གྲི་ཁྲོ་རྒྱལ་སྟོབས་འདུས་བཞུགས། (thugs bsgrub gsang ba yongs 'dus las phyag mthsan sdig pa'i dgos bsgrub me yi spu gri khro rgyal s)...","

        From the wish-fulfilling tree of the secret accomplishment of the heart: the practice that accomplishes the wrathful Buddha. Owner of original material: Hong Qi. Extent & format of original material: 1 text of 8 paper folios.

                  
            
              
              View images from this file (8)
            
          
              ","EAP727/1/9","8 Tiff Files","File","Tibetan","Tibetan","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP727/EAP727_1_9/1.jp2/full/!600,300/0/default.jpg"
"10","ཐུགས་ཐིག་ལས། ཕྱག་མཚན་སྡིག་པའི་འཕྲིན་ལས། སྤྲོས་མེད་དོན་གྱི་མེ་ཟོར་རྡོ་རྗེའི་ཐོག་ཆར་བཞུགས།། (thugs thig las phyag mtshan sdig pa'i 'phrin las spros med don gyi me zor rdo rje'i thog char bzhugs) [Late 1]...","

        From the heart essence, mudra and magic weapons like rain and thunderbolts. Owner of original material: Hong Qi. Extent & format of original material: 1 text of 6 paper folios.

                  
            
              
              View images from this file (7)
            
          
              ","EAP727/1/10","6 Tiff Files","File","Tibetan","Tibetan","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP727/EAP727_1_10/1.jp2/full/!600,300/0/default.jpg"
