"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Deo Buranji [c18th century]","

        It is a story of the big country with no ruler before it was ruled by Khun Lung Khun Lai. It is similar to Tileshwar Mohan's Ma Likha Lit. On the front cover image, its written Deo Buranji, Ganeshwar Mohan, Bokata, Boragaon. P.O.- Patsaku.

                  
            
              
              View images from this file (28)
            
          
              ","EAP373/1/1","28 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP373/EAP373_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Du Kai Seng [c18th century]","

        This is a fortune telling manuscript. There are images of pairs of chicken legs with thin bamboo sticks attached to them. And depending on these images, the placement of the bamboo sticks, fortune telling and procastination of any kind of good or bad happenings are done.

                  
            
              
              View images from this file (64)
            
          
              ","EAP373/1/2","64 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP373/EAP373_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","Du Kai Seng [c18th century]","

        This is a fortune telling manuscript. There are images of pairs of chicken legs with thin bamboo sticks attached to them. And depending on these images, the placement of the bamboo sticks, fortune telling and procastination of any kind of good or bad happenings are done.

                  
            
              
              View images from this file (14)
            
          
              ","EAP373/1/3","14 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP373/EAP373_1_3/1.jp2/full/!600,300/0/default.jpg"
"4","Du Kai Seng [c18th century]","

        This is a fortune telling manuscript. There are images of pairs of chicken legs with thin bamboo sticks attached to them. And depending on these images, the placement of the bamboo sticks, fortune telling and procastination of any kind of good or bad happenings are done. On image 0072 is writtem Ram Lai Phe Kai which may be the name given to the manuscript. Next to it is written Sam sau bau si tong nam na which says that there are 60 folios in the manuscript. Further, a promise regarding the borrowing of the manuscript is also mentioned in it.

                  
            
              
              View images from this file (94)
            
          
              ","EAP373/1/4","94 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP373/EAP373_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","Folding Manuscript [c18th century]","

        This manuscript contains a story of Su Dang Pha Bamuni Konwar.

                  
            
              
              View images from this file (3)
            
          
              ","EAP373/1/5","3 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP373/EAP373_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","Fragments [c18th century]","

        Since this manuscipt is a collection of fragments the content in each of the folios is different and not related to each other.

                  
            
              
              View images from this file (22)
            
          
              ","EAP373/1/6","22 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP373/EAP373_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","Fragments [c18th century]","

        This is basically a fortune telling manuscript which helps in counting of suitable days for marriage, building of houses or any such kind of good happenings.

                  
            
              
              View images from this file (6)
            
          
              ","EAP373/1/7","6 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP373/EAP373_1_7/1.jp2/full/!600,300/0/default.jpg"
"8","KhonMing [c18th century]","

        The content is similar to Tileshwar Mohan's Ming Mvng Lung Phai (EAP373_TileshwarMohan_MvngMungLungPhai). On the front cover image 0001, is written Khon Ming Lung Fai in English and Lit Khon Ming in Tai languages and Ayukh Tula Puthi in Assamese.

                  
            
              
              View images from this file (38)
            
          
              ","EAP373/1/8","38 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP373/EAP373_1_8/1.jp2/full/!600,300/0/default.jpg"
"9","KhonMing [c18th century]","

        It contains the mantra of the Ming Mvng Lung Phai (EAP373_TileshwarMohan_MvngMungLungPhai).

                  
            
              
              View images from this file (8)
            
          
              ","EAP373/1/9","8 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP373/EAP373_1_9/1.jp2/full/!600,300/0/default.jpg"
"10","Su Nuk Lit [1816-7]","

        It contains mantra for calling the khon 'spirit' of the country. On image 0011.tiff, it is written that this manuscript was written during the reign Purandar Singha in Charing. It is also mentioned that at that time Jorhat was his capital. The Manuscript states that it was copied in Lakni Khut Mit; Mv Dvn Kau. This refers . It is confirmed as the latter because the manuscript states that it was written during the reign of Purandar Singh (around 1818). It is also dated in the 9th month (dvn kau), approximately August.

                  
            
              
              View images from this file (88)
            
          
              ","EAP373/1/10","88 tiff images","Manuscript","File","Tai languages","Ahom","1816-1817","Access is for research purposes only.","https://images.eap.bl.uk/EAP373/EAP373_1_10/1.jp2/full/!600,300/0/default.jpg"
