"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","brgyad stong ka [17th century]","

        The volume contains 8000 verses of the Perfection of Wisdom sutra. This is generally known as the short version of the Perfection of Wisdom sutra. Its main topic is the philosophy of Emptiness.

                  
            
              
              View images from this file (426)
            
          
              ","EAP570/1/1/1","1 folder of text containing 426 TIFF images, 17.9GB","Volume","File","Tibetan","Tibetan","17th century","Access is for research purposes only"
"2","dkon brtsegs ka [17th century]","

        The volume contains Ratnakutasutra.

                  
            
              
              View images from this file (479)
            
          
              ","EAP570/1/1/2","1 folder of text containing 479 TIFF images, 20.2GB","Volume","File","Tibetan","Tibetan","17th century","Access is for research purposes only"
"3","dkon brtsegs kha [17th century]","

        The volume contains Ratnakutasutra.

                  
            
              
              View images from this file (445)
            
          
              ","EAP570/1/1/3","1 folder of text containing 445 TIFF images, 18.7GB","Volume","File","Tibetan","Tibetan","17th century","Access is for research purposes only"
"4","dkon brtsegs ga [17th century]","

        The volume contains Ratnakutasutra.

                  
            
              
              View images from this file (504)
            
          
              ","EAP570/1/1/4","1 folder of text containing 504 TIFF images, 21.2GB","Volume","File","Tibetan","Tibetan","17th century","Access is for research purposes only"
"5","dkon brtsegs nga [17th century]","

        The volume contains Ratnakutasutra.

                  
            
              
              View images from this file (513)
            
          
              ","EAP570/1/1/5","1 folder of text containing 513 TIFF images, 11.8GB","Volume","File","Tibetan","Tibetan","17th century","Access is for research purposes only"
"6","dkon brtsegs ca [17th century]","

        The volume contains Ratnakutasutra.

                  
            
              
              View images from this file (522)
            
          
              ","EAP570/1/1/6","1 folder of text containing 522 TIFF images, 22GB","Volume","File","Tibetan","Tibetan","17th century","Access is for research purposes only"
"7","dkon brtsegs cha [17th century]","

        The volume contains Ratnakutasutra.

                  
            
              
              View images from this file (494)
            
          
              ","EAP570/1/1/7","1 folder of text containing 494 TIFF images, 20.8GB","Volume","File","Tibetan","Tibetan","17th century","Access is for research purposes only"
"8","'dul ba ka [17th century]","

        The volume contains Vinaya texts on discipline in the Sarvastivada school. The Vinaya corpus deals with the topic of monastic discipline and stories and anecdotes from the time of the Buddha. The stories constitute the contextual narrative for the various rules and precepts to be observed by the monks and the explanation for life experiences and events through karmic connection to the past lifetimes.

                  
            
              
              View images from this file (529)
            
          
              ","EAP570/1/1/8","1 folder of text containing 529 TIFF images, 22.3GB","Volume","File","Tibetan","Tibetan","17th century","Access is for research purposes only"
"9","'dul ba kha [17th century]","

        The volume contains Vinaya texts on discipline in the Sarvastivada school. The Vinaya corpus deals with the topic of monastic discipline and stories and anecdotes from the time of the Buddha. The stories constitute the contextual narrative for the various rules and precepts to be observed by the monks and the explanation for life experiences and events through karmic connection to the past lifetimes.

                  
            
              
              View images from this file (518)
            
          
              ","EAP570/1/1/9","1 folder of text containing 518 TIFF images, 21.8GB","Volume","File","Tibetan","Tibetan","17th century","Access is for research purposes only"
"10","'dul ba ga [17th century]","

        The volume contains Vinaya texts on discipline in the Sarvastivada school. The Vinaya corpus deals with the topic of monastic discipline and stories and anecdotes from the time of the Buddha. The stories constitute the contextual narrative for the various rules and precepts to be observed by the monks and the explanation for life experiences and events through karmic connection to the past lifetimes.

                  
            
              
              View images from this file (500)
            
          
              ","EAP570/1/1/10","1 folder of text containing 500 TIFF images, 11.5GB","Volume","File","Tibetan","Tibetan","17th century","Access is for research purposes only"
