"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","Daśa Kriyā","

        This is a ritual text dealing with ten life cycle rituals. All the Buddhist have to observe ten life cycle ritual as written in this text. They do it. A Vajrācārya priest always leads and presides such rituals. It starts from birth and ends at death. All the ritual sections within the main ritual such purification, Pujā processesetc are prescribed by the text. It is popularly called ''Dasa Karma''.It has It has seven folios. It is the paper manuscript.

                  
            
              
              View images from this file (8)
            
          
              ","EAP676/1/1","7 TIFF images, 54 MB","Manuscript","File","Sanskrit, Nepal Bhasa; Newari","Prachalit Nepal","17th century-20th century","For research purposes only."
"2","Tithi Phala Vicāra","

        This is an astronomical text. Basically it is a Hindu text. Many of the Vajrācāryas from Buddhist community in Lalitpur mastered in astrology and worked accordingly since the medieval times. They use even Hindu astrological and other text for the use of Buddhists in such purposes. It discuses about the planets, their positions and its impact on individuals life. It has 25 folios and partly damaged but text is intact. Folio 1 is missing. language is Sanskrit written in Devanagari script.

                  
            
              
              View images from this file (26)
            
          
              ","EAP676/1/2","26 TIFF images 54 MB","Manuscript","File","Sanskrit, Nepal Bhasa; Newari","Prachalit Nepal","17th century-20th century","For research purposes only."
"3","Aprimitāyunāma Dhāraṇī [994 NS]","

        Newar Buddhists lay top most priority in reciting Mantras and Dhāraṇī to accumulate merit. This is one among many Dhāraṇī prevalent in the Newar society. This Dhāraṇī is recited mainly for good health and long life.It has 25 folios written in Pracalit Newārī script. Its language is Sanskrit . Although it is written in old paper, it is in very good condition. Provision for miniature is left blank.

                  
            
              
              View images from this file (21)
            
          
              ","EAP676/1/3","20 TIFF 54 MB","Manuscript","File","Sanskrit","Prachalit Nepal","1874","For research purposes only."
"4","Bouddha Mantra","

        Vajrayana practitioners in Nepal lay higher emphasisin ritual performances. Therefore emphasize in Mantra recitation. Among nuwerous types of Mantras, Bouddha Mantra is anpther important Mantra recited in various occassions.It has 4 folios written in modern paper with red and black ink. its language is Sanskrit and script is Pracalit Newārī.

                  
            
              
              View images from this file (5)
            
          
              ","EAP676/1/4","4 TIFF, 54 MB","Manuscript","File","Sanskrit","Prachalit Nepal","17th century-20th century","For research purposes only."
"5","Jyotiṣa Ratnamālā [1914 BS]","

        Subject - astrology.. It is written in 2 long pages in Nepali modern paper. Its author is Sri Pati Bhatta. It belongs to Hinduism. Its language is Sanskrit written in Devnagari. It was copied in 1857.

                  
            
              
              View images from this file (9)
            
          
              ","EAP676/1/5","8 TIFF, 54 MB","Manuscript","File","Sanskrit","Devanagari","1857","For research purposes only."
"6","Saptavimśatikā Ketrayā Vidhi","

        it is a ritual mantra text written in 2 long pages in Nepali paper. Sanskrit and Newārī are used in the text. Newārī is generally used in manuscripts to provide explanation to Sanskrit injuctions or provide instructions.

                  
            
              
              View images from this file (6)
            
          
              ","EAP676/1/6","5 TIFF images, 54 MB","Manuscript","File","Sanskrit, Nepal Bhasa; Newari","Devanagari","17th century-20th century","For research purposes only."
"7","Dvāśa Purṇa Candra Stotra","

        This is Stotra [Eulogy] of the moon of tenth day of the bright half of the month.It has 3 folios but complete. It is written in Nepali hand made paper. Its language is Sanskrit and script used is Pracalit Newārī. Its condition is very good.

                  
            
              
              View images from this file (5)
            
          
              ","EAP676/1/7","4 TIFF, 54 MB","Manuscript","File","Sanskrit","Prachalit Nepal","17th century-20th century","For research purposes only."
"8","Ārya Gaṇapatināma Dhāraṇī","

        This is the Stotra of Ganesha.it has 3 folios written in Sanskrit using Pracalit Newārī script.It is complete and is in very good condition.

                  
            
              
              View images from this file (6)
            
          
              ","EAP676/1/8","5 TIFF, 54 MB","Manuscript","File","Sanskrit","Prachalit Nepal","17th century-20th century","For research purposes only."
"9","Mahāṣḍākṣarī Mahāvidyā Dhāraṇī","

        This Dhāraṇī Mantra text is written in Sanskrit with Pracalit Newārī and Rañjanā scripts mixed. It is a paper manuscript. It has 4 folios of 8.5 X 6.5 cm in size. It has complete entents.

                  
            
              
              View images from this file (6)
            
          
              ","EAP676/1/9","5 TIFF, 54 MB","Manuscript","File","Sanskrit","Prachalit Nepal","17th century-20th century","For research purposes only."
"10","Namastāre Saptaka Viṁśatī","

        This test is an eulogy of goddess Tārā. It praises her. Devotees recite it while praying her.It has 4folios written in Sanskrit . It is in Sanskrit language. Its paper content looks old.This is the complete text.

                  
            
              
              View images from this file (6)
            
          
              ","EAP676/1/10","5 TIFF, 54 MB","Manuscript","File","Sanskrit","Prachalit Nepal","17th century-20th century","For research purposes only."
"11","Mahāmāyā Vidyāvahinināma Dhāraṇī","

        Thia ia a Dhāraṇī text. It is recited as mantra on specific occassions. It is the complete text in 9 folios. Its script is Pracalit Newārī and the language is Sanskrit . It is a paper manuscript of 18.5 X 6.5 cm in size.

                  
            
              
              View images from this file (11)
            
          
              ","EAP676/1/11","10 TIFF 54 MB","Manuscript","File","Sanskrit","Prachalit Nepal","17th century-20th century","For research purposes only."
"12","Hāratināma Mantra Dhāraṇī","

        The Dhāraṇī mantra in the name of Goddess harati is a popular Mantra recited by the Buddhists of Nepal. It is recited while worshipping or venerating the goddess. This is a complete text in 5 folios. It is written in Sanskrit with Pracalit Newārī script. It is a paper manuscript and in very good condition.

                  
            
              
              View images from this file (7)
            
          
              ","EAP676/1/12","6 TIFF 54 MB","Manuscript","File","Sanskrit","Prachalit Nepal","17th century-20th century","For research purposes only."
"13","Pañcarakṣā Sūtra [898 NS]","

        Pancaraksa Sutra (sutra of the Five Protective deities) is a very popular and common text of newar Buddhists. This Sutra contains both Sutra and Dhāraṇī contents. This is recited during performing Pancarakshya rituals and worships for mundane benefits. its rituals are performed to ward off evil omens. This text is found from small to larger versions. Mss 013 has only 32 folios which is complete. It is in Sanskrit language written with Pracalit Newārī script. its colophon mentions the name of the scribe as Ratna Sagar vajracĀrya of Tao baha. It was copied in Nepal samvat (Nepal Era) 898 or 1787 CE.. It also contains miniatures of the five transcendental Buddhas.

                  
            
              
              View images from this file (34)
            
          
              ","EAP676/1/13","33 TIFF 54 MB","Manuscript","File","Sanskrit","Prachalit Nepal","1778","For research purposes only."
"14","Namasangati [985 NS]","

        Namasangiti is a Tantric text. This is all about Bodhisattva Manjusri. This is a common text of CĀrya practice among the Newar Buddhist in Kathmandu. Very un usually, this manusccripts contains five images of pancaraksa deities. Jnana Vajra vajracĀrya has written this text. It has 28 folios in pracalit Newārī script. its language is Sanskrit . this manuscript was copied in Nepal Samvat 985 (1894 CE).. It is smeared with yellow substance. It is a complete text and is in very good condition.

                  
            
              
              View images from this file (26)
            
          
              ","EAP676/1/14","25 TIFF 54 MB","Manuscript","File","Sanskrit","Prachalit Nepal","1865","For research purposes only."
