"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Court cases [1919-1945]","        This file contains documents related to court cases involving Siruvalai Zamin's estate (illegal cutting of trees) and the removal of a village headman (nattanmai). 4 printed and handwritten documents. Various formats.                                                          View images from this file (14)                                    ","EAP314/3/1","14 TIFF images","Court & Legal records","File","Tamil","Tamil","1919-1945","Access is for research purposes only","https://images.eap.bl.uk/EAP314/EAP314_3_1/1.jp2/full/!600,300/0/default.jpg"
"2","Family Documents [1919-1954]","        This file contains two family documents: a marriage invitations and a hand drawn family genealogy. 2 printed and handwritten documents. Various formats.                                                          View images from this file (4)                                    ","EAP314/3/2","4 TIFF images","Document","File","Tamil, English","Tamil, Latin","1919-1954","Access is for research purposes only","https://images.eap.bl.uk/EAP314/EAP314_3_2/1.jp2/full/!600,300/0/default.jpg"
"3","Temple conflicts [1827-1945]","        This file contains the complaints sent to the District Collector by Achutharama Goundar, the forefather of the current document holder Sundarapandian Goundar. The main content of the document is their rights to get the Honour (Parivattam) during the festival at Kalazhakar temple against a rival landlord, the Zamindar of Velliangundram. 12 handwritten documents. Legal size paper: height 35.56 cm/width 21.59 cm.                                                          View images from this file (48)                                    ","EAP314/3/4","48 TIFF images","Document","File","Tamil","Tamil","1827-1945","Access is for research purposes only","https://images.eap.bl.uk/EAP314/EAP314_3_4/1.jp2/full/!600,300/0/default.jpg"
"4","Copper plate 1 [1827-1945]","        This file contains one copperplate. This copper plate, issued by king Tirumalai Narendiran establishes Immudi Achiram Goundar as the headman (palayakarran) of set of villages and gives him the office of watchman over the Alagar temple. Details of tax collection and temple honours are also given. Gregorian date not determined. Tamil date: year of avilambi / month of panguni.                                                          View images from this file (2)                                    ","EAP314/3/5/1","2 TIFF images","Manuscript","File","Tamil","Tamil","1827-1945","Access is for research purposes only","https://images.eap.bl.uk/EAP314/EAP314_3_5_1/1.jp2/full/!600,300/0/default.jpg"
"5","Copper plate 2 [1827-1945]","        This file contains two copperplates. These two copperplates mention a variety of topics. They begin by praising lord Krishna. Then goes on to described a certain Veeramallathevan of Pattanaiyur who is praised by the village residents for his bravery in fighting and killing a tiger. It also described some customary laws for several communities including the Sakkiliyar and Goundar communities. Gregorian date not determined. Tamil date: year of Salivaahana Saruvashithi / month of Vaigasi / 6th date.                                                          View images from this file (4)                                    ","EAP314/3/5/2","4 TIFF images","Manuscript","File","Tamil","Tamil","1827-1945","Access is for research purposes only","https://images.eap.bl.uk/EAP314/EAP314_3_5_2/1.jp2/full/!600,300/0/default.jpg"
"6","Drama company disputes [1932-1936]","        This file contains 14 documents related to contracts and disputes between individuals and local drama companies (include children's contracts, receipts for advance payment, and complaints made by both sides: the companies and the parents). Parents would send their child off to work for a drama company, for a period of two or three years. A contract was drawn up between the parents and the company fixing the advance paid to the parents and the time period the child should work. These disputes were settled by the document holder's great-grandfather as village panchayat president. 12 handwritten paper documents. Legal size paper (height 35.56 cm/width 21.59 cm) and other formats.                                                          View images from this file (46)                                    ","EAP314/4/1","46 TIFF images","Document","File","Tamil","Tamil","1932-1936","Access is for research purposes only","https://images.eap.bl.uk/EAP314/EAP314_4_1/1.jp2/full/!600,300/0/default.jpg"
"7","Government communication [1874-1948]","        This file contains different handwritten and printed official documents including various types of notifications and communications to and by the British administration to village officials regarding issues on use of government land, election schedule form, proceedings memorandum form, fishing auctions, etc. 17 handwritten and printed paper documents. Legal size paper (height 35.56 cm/width 21.59 cm) and other formats.                                                          View images from this file (37)                                    ","EAP314/4/2","37 TIFF images","Document","File","Tamil, English","Tamil, Latin","1874-1948","Access is for research purposes only","https://images.eap.bl.uk/EAP314/EAP314_4_2/1.jp2/full/!600,300/0/default.jpg"
"8","Village panchayat court [1869-1953]","        This file contains documents relating the Village Panchayat Court (VPC) of Adalai as well as other dispute settlement documents. It includes correspondence between the VPC and the District Magistrate, as well as documents produced by the VPC such as orders, witness summons, judgements. There are also documents produced by plaintiffs and advocates such as case descriptions, complaints, etc. The litigations range from cattle theft, land eviction, irrigation, unpaid loans, inheritance, matrimonial disputes, verbal abuse, etc. The VPCs were legal bodies recognised by the British administration. The VPC handled disputes at the village level and had to answer back to the District Magistrate Court. The traditional headman often used to hold the function of VPC president, as is the case here. 127 handwritten and printed documents. Legal size paper (height 35.56 cm/width 21.59 cm) and other formats.                                                          View images from this file (342)                                    ","EAP314/4/4","342 TIFF images","Court & Legal records","File","Tamil, English","Tamil, Latin","1869-1953","Access is for research purposes only","https://images.eap.bl.uk/EAP314/EAP314_4_4/1.jp2/full/!600,300/0/default.jpg"
"9","Temple accounts notebook [1916-1935]","        This file contains a notebook recording information from four temples located in the village of Adhalai such as lists of the vessels owned by a temple and construction accounts. 61 pages out of 100 pages notebook have been filled in. 100 pages notebook: height 36 cm; width 22 cm.                                                          View images from this file (67)                                    ","EAP314/4/5/1","67 TIFF images","Book","File","Tamil","Tamil","1916-1935","Access is for research purposes only","https://images.eap.bl.uk/EAP314/EAP314_4_5_1/1.jp2/full/!600,300/0/default.jpg"
"10","Temple papers [1862-1947]","        This file contains loose documents covering various temple management issues. 5 handwritten paper document. Various format.                                                          View images from this file (14)                                    ","EAP314/4/5/2","14 TIFF images","Document","File","Tamil","Tamil","1862-1947","Access is for research purposes only","https://images.eap.bl.uk/EAP314/EAP314_4_5_2/1.jp2/full/!600,300/0/default.jpg"
