"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","Siti Islam [20th century]","

        Digital images of a manuscript detailing the story of Siti Islam in poetic form. Incomplete at the end, dated c 19th century, author unknown. Written on European paper and bound with black thread. The manuscript measures 22 x 16cm, and the text block 18 x 12cm.  This manuscript is the same as EAP329/10/34. Ampon Hasballah had given it to Teungku Ainal Mardhiah because it complimented his other manuscript EAP329/7/25. The two collectors knew each other as they lived in the same regency.

                  
            
              
              View images from this file (30)
            
          
              ","EAP229/1/1","30 TIFF images","Manuscript","File","Achinese","Arabic","20th century","Access is for research purposes only"
"2","The story of Malem Diwa [c 19th Century]","

        Digital images of a manuscript detailing the story of Malem Diwa in verse form. Lacks beginning, not clear if complete at the end. Probably written 19th century, scribe unknown. Written on European paper, and bound with thread. The manuscript measures 24 x 17cm, and the text block 18 x 13cm.

                  
            
              
              View images from this file (110)
            
          
              ","EAP229/2/1","110 TIFF images","Manuscript","File","Achinese","Arabic","19th century","Access is for research purposes only"
"3","Hayake (?) [19th Century]","

        Digital images of a manuscript of selected Qur'anic verses. Dated to the 19th century, the author and scribe are unknown. The manuscript is bound with thread, and measures 16 x 11.5cm; the text block measures 13 x 8.5cm.

                  
            
              
              View images from this file (19)
            
          
              ","EAP229/3/1","19 TIFF images","Manuscript","File","Arabic, Achinese","Arabic","19th Century","Access is for research purposes only"
"4","Prang Sabi [19th Century]","

        Digital images of Prang Sabi, a manuscript which relates the Islamic story of the Holy War against the Dutch, in verse form. Not clear if complete at the end, the manuscript dates from the 19th century, author unknown. Bound with thread, the manuscript measures 21 x 16cm; the text block measures 17 x 13cm.

                  
            
              
              View images from this file (17)
            
          
              ","EAP229/3/2","17 TIFF images","Manuscript","File","Achinese","Arabic","19th Century","Access is for research purposes only"
"5","Fal [18th century]","

        Digital images of a manuscript used for divination. The name of the owner and author is given on the back of the chart: Dan empunya fal ini Nyak Umar cut amut ibn Muhammad ibn Yakub dan yang menyurat sendirinya Dated to the 19th century. The manuscript is circular, and has been concer'tinaed (like a fan); each fold has been written on, and the manuscript is rolled up when in storage.

                  
            
              
              View images from this file (3)
            
          
              ","EAP229/4/1","3 TIFF images","Manuscript","File","Malay","Arabic","18th century","Access is for research purposes only"
"6","""Dhia' al-Wara, dawa' al-Qulub, I'lam al-Muttaqin [1823]""","

        Contents. Dia' al-Wara, artinya menerangkan manusia kepada berjalan bagi jalan tuhan yang amat tinggi pp. 1-40 Dawa' al-qulub, yakni ubat segala hati daripada segala kejahatan 'aib dengan tolong Allah, pp. 41-90. Colophon on p. 90 gives the date as 19 Rejab 1238 (1 April 1823 AD). The author is named as Teungku Muhammad Khatib Langgien (Fathurahman 2010: 202, 239-240) I'lam al-muttaqin, yang dipindahkan akan dia daripada kitab Irshad al-muridin, pp. 91-119. Colophon on p. 119 gives a date of 4 Jumadilakhir, but no year. Another copy of this text is found in Dayah Tanoh Abee, dated 1809 (Fathurahman 2010: 350) The manuscript measures 21 x 16cm, the text block 17 x 10cm, and it is bound with thread. During the pilot project EAP229, this manuscript was owned by Teungku Amir (EAP229/5/1). It was subsequently sold and by the time of the major project EAP329, it had been transferred to the collection of Teungku Ainal Mardhiah (EAP329/10/99). This manuscript originated from Teungku Khatib Langgien (died in the 19th century) who was an ancestor of both Teungku Amir and Teungku Ainal Mardhiah.

                  
            
              
              View images from this file (131)
            
          
              ","EAP229/5/1","131 TIFF images","Manuscript","File","Arabic, Malay","Arabic","1823","Access is for research purposes only"
"7","Hikayat Muda Bahlia [1906/1907]","

        Digital images of a manuscript detailing the story of Ashab al-Khafi in verse form. Dated in the colophon 1324 (1906/1907 AH), p. 10. Author unknown. Written on modern paper, the manuscript measures 20 x 16cm, and the text block 18 x 12cm; the manuscript is mounted in reverse form, i.e. the last pages are first.

                  
            
              
              View images from this file (25)
            
          
              ","EAP229/6/1","25 TIFF images","Manuscript","File","Achinese, Arabic","Arabic","1906-1907","Access is for research purposes only"
"8","Mawa'idh al-Badi' [c 19th century]","

        Digital images of Mawa'iz al-Badi', (incomplete) by 'Abd al-Rauf ibn 'Ali al-Jawi (1615-1693). This copy probably dates from the 19th century. The manuscript measures 23 x 17cm, the text block 14 x 9cm.

                  
            
              
              View images from this file (31)
            
          
              ","EAP229/6/2","31 TIFF images","Manuscript","File","Achinese, Arabic","Arabic","19th century","Access is for research purposes only"
"9","""Aqidatul Awam, Syarah Hayake (?) [1882/3]""","

        Contents. Aqidat al-awamm, c 1281 (1864AD) by Ahmad al-Marzuqi (Wiering 1998: 135), in Arabic with interliner Acehnese translation. Colophon on p. 11 gives date of copying as 1300 (1882/3 AD) Syarah Hayake?, in Arabic and Acehnese The manuscript measures 17 x 10.5cm, the text block 14.5 x 8cm. This is the same manuscript as: EAP329/10/10.

                  
            
              
              View images from this file (21)
            
          
              ","EAP229/6/3","21 TIFF images","Manuscript","File","Achinese, Arabic","Arabic","1882-1883","Access is for research purposes only"
"10","Sirat al-Mustaqim [19th century]","

        Digital images of Sirat al-mustaqim, a Malay work on fiqh (law) by Nur al-Din al-Raniri, composed between AH 1044-1054 (AD 1634-1644), this copy probably produced 19th century Missing first page, and incomplete at the end. The current first page has a monochrome decorated frame that would originally have been the left-hand page of a double decorated frame. This was one of the most popular works on Islamic obligations used in Southeast Asia, and many manuscript copies are held in libraries, including one copy from Aceh in the British Library (Or.15979). This is the same manuscript as: EAP329/10/104. The manuscript measures 21 x 15.5cm, the text block 14 x 9cm.

                  
            
              
              View images from this file (45)
            
          
              ","EAP229/6/4","45 TIFF images","Manuscript","File","Malay","Arabic","19th century","Access is for research purposes only"
