"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","An Na Di Ban Kham [c18th century]","

        This manuscript contains the existence of everything in the universe including the creation or birth of the universe itself.

                  
            
              
              View images from this file (20)
            
          
              ","EAP373/51/1","20 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"2","Ban Seng [c18th century]","

        This is a fortune telling manuscript.

                  
            
              
              View images from this file (96)
            
          
              ","EAP373/51/2","96 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"3","Buranji [c18th century]","

        This manuscript contains history of the chutiyas. The manuscript is incomplete.

                  
            
              
              View images from this file (26)
            
          
              ","EAP373/51/3","26 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"4","Buranji [c18th century]","

        This is a historical manuscript. In image 0023.tiff, it is recorded the coming of Chau Lung Sv Ka Pha to Mung Dun Svn Kham, the Ahom name given to the Ahom kingdom in Assam when Sv Ka Pha first arrived here and established his kingdom. It is also written here that Chao Thau Lung, Chao Phrong Mung and Lau Khri's two sons Mo Sam and Mo Sai accompanied the Ahom king Chau Lung Sv Ka Pha and these people carried Tai manuscripts with them.

                  
            
              
              View images from this file (31)
            
          
              ","EAP373/51/4","31 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"5","Deo Buranji [c18th century]","

        This manuscript is about the creation of the universe and Lengdon untill the creation of the Tai kingdom in Mung Kang by him.

                  
            
              
              View images from this file (8)
            
          
              ","EAP373/51/5","8 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"6","Du Kai Seng [c18th century]","

        This is a fortune telling manuscript. There are images of pairs of chicken legs with thin bamboo sticks attached to them. And depending on these images, the placement of the bamboo sticks, fortune telling and procastination of any kind of good or bad happenings are done.

                  
            
              
              View images from this file (124)
            
          
              ","EAP373/51/6","124 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"7","Du Kai Seng [c18th century]","

        This is a fortune telling manuscript. There are images of pairs of chicken legs with thin bamboo sticks attached to them. And depending on these images, the placement of the bamboo sticks, fortune telling and procastination of any kind of good or bad happenings are done.

                  
            
              
              View images from this file (27)
            
          
              ","EAP373/51/7","27 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"8","Gupit Buranji [1791-92]","

        This manuscript contains infromation from the creation of the universe to the coming of Khun Lung Khun Lai to earth. It also has infromation on the people who accompanied Khun Lung Khun Lai to earth. Lak Ni Rai Mit, Dvn Ha (fifth month). The year corresponds to 1791-92.

                  
            
              
              View images from this file (46)
            
          
              ","EAP373/51/8","46 tiff images","Manuscript","File","Tai languages","Ahom","1791-1792","Access is for research purposes only."
"9","Lik Ko Mvng [c18th century]","

        This manuscript contains description on the creation of the universe.

                  
            
              
              View images from this file (20)
            
          
              ","EAP373/51/9","20 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"10","Aap Naam [c18th century]","

        This manuscript contains mantra to purify water which is used to bathe to get rid of deseases or evil spirits. Script is Tai but language is Assamese. It consists of prayers.

                  
            
              
              View images from this file (44)
            
          
              ","EAP373/51/10","44 tiff images","Manuscript","File","Assamese","Ahom","18th century","Access is for research purposes only."
"11","Mvng Mung Lung Phai [c18th century]","

        It is believed in the Ahom culture that there different types or number of spirits(khons) in everything in this universe. These spirits seem to escape after war or if someone is frightened or scared. And in order to call back these spirits this manuscript is used to call back the frightened spirits. This text is used when the spirit of country has escaped.

                  
            
              
              View images from this file (22)
            
          
              ","EAP373/51/11","22 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"12","Pen Ka Ka [c18th century]","

        The content is about the universe was in a state of nothingness. In image 0002, it is written about God saying that there was no one to even praise him. So he created Khun Thew Kham from his navel. The content is almost similar to Pun Ko Mo and Lai Ko Mou.

                  
            
              
              View images from this file (8)
            
          
              ","EAP373/51/12","8 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"13","Phe Lung Phe Ban [c18th century]","

        This manuscript is similar to other Phe Lung Phe Ban manuscripts. It contains astrological calculations for match making.

                  
            
              
              View images from this file (10)
            
          
              ","EAP373/51/13","10 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"14","Pvn Ko Mvng [c18th century]","

        This manuscript contains description on the creation of the universe.

                  
            
              
              View images from this file (38)
            
          
              ","EAP373/51/14","38 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"15","Sai Kai [c18th century]","

        This manuscript contains stories told during No Khua(eating of newly harvested rice from the rice field). It is believed that previously people used to recite the Lik Sai Kai around a bonfire on the day they eat rice from the newly harvested rice crops.

                  
            
              
              View images from this file (26)
            
          
              ","EAP373/51/15","32 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"16","Sai Kai [c18th century]","

        This manuscript also contain stories to be told at No Khua like the other Sai Kai manuscripts.

                  
            
              
              View images from this file (38)
            
          
              ","EAP373/51/16","38 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"17","""Unknown History [19th century, or later]""","

        This manuscript contains information about Gomedhar Konwar who was the first revolutionary against the British in Assam. It is written that in Lak Ni Dap Pau, Din Sip Song (the 12th month), the son of Phena Konwar declared himself as the king. It is also written that he set fire to the British ammunition store house as revolt against the British. He was later on sentenced to exile by the British.

                  
            
              
              View images from this file (6)
            
          
              ","EAP373/51/17","6 tiff images","Manuscript","File","Tai languages","Ahom","""19th century, or later""","Access is for research purposes only."
"18","Bar Amra","

        This is a paper copy of the Tai languages lexicon Bar Amra. The entries in this lexicon is from /ka/ uptill /ma/. The last page contains a mantra which is meant to be read to purify any household if it is struck by lightening. Lak Ni Singa, Dvn Sam (3rd month).

                  
            
              
              View images from this file (69)
            
          
              ","EAP373/52/1","69 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"19","Fragment [c18th century]","

        This is a writing practice manuscript.

                  
            
              
              View images from this file (2)
            
          
              ","EAP373/52/2","2 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"20","Fragments [c18th century]","

        The content in each of the folios is different. The first folio contains Nang Khai story. It is the story of Ka Pha Yenga, Lengdon's daughter getting married to Lengdon.

                  
            
              
              View images from this file (6)
            
          
              ","EAP373/52/3","6 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"21","Mantra [c18th century]","

        This manuscript contains a mantra calling Lengdon, the God of Thunder, Wind, Hail and Chao Pha Jan Sai Hung to come and take the offerings made to them. The offerings made to them mentioned here are bettle nut, chicken eggs, rice cakes and sugarcane.

                  
            
              
              View images from this file (26)
            
          
              ","EAP373/52/4","26 tiff images","Manuscript","File","Tai languages","Ahom","18th century","Access is for research purposes only."
"22","Aap Naam [1797-78]","

        This manuscript contains mantra to purify water for bathing. It is believed that bathing with purified water helps in getting rid of the evil eye, evil spirits and diseases. This manuscript is complete, containing 7 folios. It commences with the phrase sam sip to mv nai '30 (days) up to now' and includes on folio 2r a list of items brought by the creator spirits / Gods when they came down to earth. Lak Ni Tav Si, corresponds to 1797-78.

                  
            
              
              View images from this file (18)
            
          
              ","EAP373/52/5","18 tiff images","Manuscript","File","Tai languages","Ahom","1797-1778","Access is for research purposes only."
