"","Page Title","Description","Reference","Extent","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","B.No.1, Ms.No.1/1:Mahisotswarga, B.No.1, Ms.No.1/2:Ghatastphan, B.No.1, Ms.No.1/3:Durgapooja Paddhati, B.No.1, Ms.No.1/4:Jajurvedeo Kusandika and B.No.1, Ms.No.1/5:Samaganan Kusandika. [1849-1860]","

        It is a file of palm leaf manuscript comprises of five parts, written by using black and red inks. The title of the five parts of the manuscript are Mahisotswarga, Ghatastphan, Durgapooja Padhati, Jajurvedeo Kusandika and Samaganan Kusandika respectively. The subject matter of the manuscript is Hindu religious matter that includes hymns used during worshipping Goddess Durga.The name of the author of the manuscript is anonymous. The manuscript contains 65 folios. It is an unbound manuscript. The status of the manuscript is complete.Tthe language of the manuscript is Sanskrit and the script of the manuscript is Bengali. Wooden cover is present to protect the manuscript from both side. The shape of the manuscript is rectangular and the size of the folios is- Length: 39 cm, Width: 3 cm. It is stored in wooden showcase. The mode of acquisition of this manuscript is donation and collected from South 24 Parganas, West Bengal.

                  
            
              
              View images from this file (128)
            
          
              ","EAP759/1/1","128 tiff images","File","Sanskrit","Bengali","May 2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP759/EAP759_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Mahabharata [19th century]","

        The title of the manuscript is Mahabharata, written on handmade paper by black ink. The author of the manuscript is Kashiram Das. The language and script of the manuscript are Bengali.It is a Hindu epic and contiains philosophical and devotional materials. The manuscript contains 25 folios. It is an unbound manuscript. Some folios of the manuscript are missing. There is no wooden cover to protect the manuscript. The shape of the manuscript is rectanglar and the size is- Length:33 cm and Widt:10.25 cm. It is stored in wooden showcase. The mode of acquisition of this manuscript is donation and collected from South 24 Parganas, West Bengal.

                  
            
              
              View images from this file (50)
            
          
              ","EAP759/1/2","50 tiff images","File","Bengali","Bengali","May 2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP759/EAP759_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","Geet Gobinda [19th century]","

        The title of the manuscript is Geet Gobinda. It is a Hindu religious love poem written on handmade paper by black ink. The author of the manuscript is Joydev. The subject matter of the manuscript is related to Hindu Mythology. It is used during worshipping Lord Krishna and Radha. The manuscript contains 33 folios. The script of the manuscript is Bengali and the language is Sanskrit. The status of the manuscript is complete. It is an unbound manuscript and does not contain wooden cover to protect the manuscript. The shape of the manuscript is rectangular and the size of the folios is- Length: 37 cm and Width: 8 cm. It is stored in wooden showcase. The mode of acquisition of this manuscript is donation and collected from South 24 Parganas, West Bengal.

                  
            
              
              View images from this file (66)
            
          
              ","EAP759/1/3","66 tiff images","File","Sanskrit","Bengali","42126","Access is for research purposes only.","https://images.eap.bl.uk/EAP759/EAP759_1_3/1.jp2/full/!600,300/0/default.jpg"
"4","Satya Pirer Panchali","

        The title of the manuscript is Satya Pirer Panchali. It is a doggerel poem. The author of the manuscript is anonymous. It is one of the popular beliefs and practices of Muslim Community. It is a local variation of the Muslim concept of pirism, when the local people were converted to Islam, they got the conception of pirism mixed up with the old idea of the supernatural power of their deities. The subject matter of the manuscript is Mythology that includes folktale. The manuscript is written on handmade paper with black ink. The manuscript contains 20 folios. The language and script of the manuscript are Bengali. It is an unbound form and some folios of the manuscripts are missing. There is no wooden cover to protect the manuscript. The shape of the manuscript is rectangular and the size is- Length- 31.5cm and Width-11cm. The mode of acquisition of this manuscript is donation. It is stored in wooden showcase. It is collected from South 24 Parganas, West Bengal.

                  
            
              
              View images from this file (40)
            
          
              ","EAP759/1/4","40 tiff images","File","Bengali","Bengali","May 2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP759/EAP759_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","Manasa Mangal","

        The title of the manuscript is Manasa Mangal and the name of the author of the manuscript is Khemananda. It is a doggerel poem written on handmade paper using black ink. The subject matter of the manuscript is related to Hindu Mythology, used during worshipping Goddess Manasa. The manuscript contains 22 folios. The language of the manuscript is Sanskrit and the script is Bengali. It is an incomplete manuscript and some folios of the manuscript are missing. the form of the manuscript is unbound. Wooden cover is absent in the manuscript. The shape of the manuscript is rectangular and the size of the folios is- Length:34 cm and Width: 10.5 cm. It is stored in wooden showcase. The mode of acquisition of this manuscript is donation and collected from South 24 Parganas, West Bengal.

                  
            
              
              View images from this file (43)
            
          
              ","EAP759/1/5","43 tiff images","File","Sanskrit","Bengali","May 2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP759/EAP759_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","Durgasaptasati [19th century]","

        The title of the manuscript is Durgasaptasati and the name of the author of the manuscript is Harihar Bramha. It has two parts. It is religious text printed on palm leaves using black ink and two folios are written by using blue ink. The subject matter of the manuscript is Mythology. Ms.No.6/1 is the part of Damrukalpa of Markandeya Purana and Ms.No.6/2 is the part of Sarbani Mannontara of Markadeya Purana, describing fame of Hindu Goddesses. The manuscript contains 66 folios. The language of the manuscript is Sanskrit and the script is Bengali. It is an incomplete manuscript and some folios of the manuscript are missing. The form of the manuscript is unbound. Wooden cover is absent in the manuscript. The shape of the manuscript is rectangular and the size of the folios of Ms.No.6/1 are- Length:23.25 cm, Width: 2.75 cm and Ms.No.6/2 are: Length:24.5 cm and Width:2.5 cm. It is stored in wooden showcase. The mode of acquisition of this manuscript is donation and collected from South 24 Parganas, West Bengal.

                  
            
              
              View images from this file (129)
            
          
              ","EAP759/1/6","129 tiff images","File","Sanskrit","Bengali","42127","Access is for research purposes only.","https://images.eap.bl.uk/EAP759/EAP759_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","Durgotsab Paddhati","

        The title of the manuscript is Durgotsab Paddhati and the name of the author of the manuscript is Raghunandan Bhattacharya. It is a religious text printed on palm leaves using black ink. The subject matter of the manuscript is related to Hindu religious matter that includes hymns describing methods of worshipping Goddess Durga. It is the part of Devi Purana. The manuscript contains 63 folios. The language of the manuscript is Sanskrit and the script is Bengali. The status of the manuscript is incomplete. The form of the manuscript is unbound. Wooden cover is absent in the manuscript. The shape of the manuscript is rectangular and the size of the folios is- Length:29.5 cm, Width:3 cm. It is stored in wooden showcase. The mode of acquisition of this manuscript is donation and collected from South 24 Parganas, West Bengal.

                  
            
              
              View images from this file (124)
            
          
              ","EAP759/1/7","124 tiff images","File","Sanskrit","Bengali","May 2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP759/EAP759_1_7/1.jp2/full/!600,300/0/default.jpg"
"8","B.No.6, Ms.No.8/1: Jajurvedee Brisotswarga B.No.6, Ms.No.8/2: Rudradhha B.No.6, Ms.No.8/3: Chandan Dhanutswarga","

        The titles of the three parts of the manuscript are Jajurvedee Brisotswarga, Rudradhha and Chandan Dhanutswarga respectively. The name of the author of Jajurvedio Brisotswarga is Raghunandan Bhattacharya and the name of the author of Rudradha and Chandan Dhanutswarga is Suttanka Bhattacharya. It is religious text written on palm leaves using black and red inks. The subject matter of the manuscript is related to religious matter including hymns and rituals used for worshipping Hindu Gods and Goddesses. Three parts of the manuscript are parts of Matsha Purana that provides knowledge about genealogical details of various dynasties. The manuscript contains 75 folios. The language of the manuscript is Sanskrit and the script is Bengali. The status of the manuscript is incomplete. Some folios of the manuscript are missing. The form of the manuscript is unbound. Wooden cover is absent in the manuscript. The shape of the manuscript is rectangular and the size of the folios of manuscript is: Length:34.5 cm and Width:3 cm. It is stored in wooden showcase. The mode of acquisition of this manuscript is donation and collected from South 24 Parganas, West Bengal.

                  
            
              
              View images from this file (149)
            
          
              ","EAP759/1/8","149 tiff images","File","Sanskrit","Bengali","May 2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP759/EAP759_1_8/1.jp2/full/!600,300/0/default.jpg"
"9","Ramayana (Aranya Kando)","

        The title of the manuscript is Ramayana (Aranya Kando) and the name of the author of the manuscript is Krittibas Ojha. It is a religious epic written on handmade paper using black ink. The subject matter of the manuscript is Mythology,describing the forest life of Rama with Sita and Lakshmana, his constant companion and kidnapping of Sita by the demon king Ravana. It is used in Hindu religious function. The manuscript contains 13 folios. The language of the manuscript is Bengali and the script is Bengali. It is an incomplete manuscript. The form of the manuscript is unbound. Wooden cover is absent in the manuscript. The shape of the manuscript is rectangular and the size of the folios is- Length:33.5 cm and Width: 11.25 cm. It is stored in wooden showcase. The mode of acquisition of this manuscript is donation and collected from South 24 Parganas, West Bengal.

                  
            
              
              View images from this file (25)
            
          
              ","EAP759/1/9","25 tiff images","File","Bengali","Bengali","42128","Access is for research purposes only.","https://images.eap.bl.uk/EAP759/EAP759_1_9/1.jp2/full/!600,300/0/default.jpg"
"10","Mahabharata (Adi Parva)","

        The title of the manuscript is Mahabharata (Adi Parva) includes the snake sacrifice (sarpasattra) of Janamejaya, explaining its motivation, detailing why all snakes in existence were intended to be destroyed, and why in spite of this, there are still snakes in existence. The name of the author of the manuscript is Kashiram Das. It is a religious epic written on handmade paper using black ink. The subject matter of the manuscript is Mythology, used in Hindu religious function. The manuscript contains 63 folios. The language of the manuscript is Bengali and the script is Bengali. It is an incomplete manuscript. The form of the manuscript is unbound. Wooden cover is absent in the manuscript. The shape of the manuscript is rectangular and the size of the folios is- Length:37.5 cm and Width: 12 cm. It is stored in wooden showcase. The mode of acquisition of this manuscript is donation and collected from South 24 Parganas, West Bengal.

                  
            
              
              View images from this file (126)
            
          
              ","EAP759/1/10","126 tiff images","File","Bengali","Bengali","May 2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP759/EAP759_1_10/1.jp2/full/!600,300/0/default.jpg"
