"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Request for the appointment of a poet","        This palm-leaf bundle contains a request made by the veLLaalar caste to appoint a tamil poet in their villages such as vicayanakara paTTiNam, toNTai maNTalam, cooLa maNTalam and kanjcipuram. Physical characteristics/Extent and format of original material: Palmyra leaf (borassus flabellifer); height 4cm, width 33cm; sideline perforation; few palm-leaves are broken in the corner. 1 handwritten palm-leaf document (14 palm-leaves) Creation dates of original material (Gregorian and/or Tamil calendar): piramaati/pangkunhi/10                                                          View images from this file (34)                                    ","EAP458/1/1/1","34 digital images in TIFF format","Manuscript","File","Tamil","Tamil","19th century-20th century","Access is for research purposes only","https://images.eap.bl.uk/EAP458/EAP458_1_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Request for the appointment of a Tamil poet","        This series consists of 1 handwritten palm-leaf document (6 palm-leaves). It is a request made by villagers from kangkaya naaTu to immuTi kumaara kaangkaya manhRaaTiyaar, paLaiya kooTTai cakkarai manhRaaTiyaar and koTumuTi paNTita kurukkaL asking them to appointment a tamil poet in the village of kiiranuur. Physical characteristics/Extent and format of original material: Palmyra leaf (borassus flabellifer); height 3cm, width 25cm; sideline perforation. 1 handwritten palm-leaf bundle (6 palm-leaves) Creation dates of original material (Gregorian and/or Tamil calendar): no date                                                          View images from this file (18)                                    ","EAP458/1/2/1","18 digital images in TIFF format","Manuscript","File","Tamil","Tamil","19th century-20th century","Access is for research purposes only","https://images.eap.bl.uk/EAP458/EAP458_1_2_1/1.jp2/full/!600,300/0/default.jpg"
"3","Village donation","        This palm-leaf document describes the donations as a mark of honour by the sovereign Tirumalai Nayakkar of Madurai of a few villages (such as tiruppuur, iruppuli, uuttaluur, koTumaNal, cuntara paaNTiya nalluur) to kumaranh naavitanh of the village of iruppuli. Physical characteristics/Extent and format of original material: Palmyra leaf (borassus flabellifer); height 3cm, width 36cm; sideline perforation; few palm-leaves are damaged. 1 handwritten palm-leaf document (8 palm-leaves) Creation dates of original material (Gregorian and/or Tamil calendar): taaraNa/tai/22                                                          View images from this file (22)                                    ","EAP458/1/3/1","22 digital images in TIFF format","Manuscript","File","Tamil","Tamil","19th century-20th century","Access is for research purposes only","https://images.eap.bl.uk/EAP458/EAP458_1_3_1/1.jp2/full/!600,300/0/default.jpg"
"4","First rights","        This palm-leaf document describes the first rights (honour) given to nallaNa kavuNTanh, amaraapati kavuNTanh and attappa kavuNTanh in the villages of kanhnhipaaTi, kuzanalli, kaakam, kiLampaTTi, kaRRaangkanhnhi and aalantuur. A few palm-leaves are damaged and therefore not fully readable.  Physical characteristics/Extent and format of original material: Palmyra leaf (borassus flabellifer); height 4cm, width 39cm; sideline perforation; few palm-leaves are damaged. 1 handwritten palm-leaf document (6 palm-leaves) Creation dates of original material (Gregorian and/or Tamil calendar): no date                                                          View images from this file (18)                                    ","EAP458/1/4/1","18 digital images in TIFF format","Manuscript","File","Tamil","Tamil","19th century-20th century","Access is for research purposes only","https://images.eap.bl.uk/EAP458/EAP458_1_4_1/1.jp2/full/!600,300/0/default.jpg"
"5","First rights","        This palm-leaf document describes details of the properties and the rights of mukunta nalluur aatiinham. Physical characteristics/Extent and format of original material: Palmyra leaf (borassus flabellifer); height 4cm, width 33cm; sideline perforation; few palm-leaves are broken in the corner. 1 handwritten palm-leaf document (6 palm-leaves) Creation dates of original material (Gregorian and/or Tamil calendar): vikaari/maarkazi/13                                                          View images from this file (18)                                    ","EAP458/1/5/1","18 digital images in TIFF format","Manuscript","File","Tamil","Tamil","19th century-20th century","Access is for research purposes only","https://images.eap.bl.uk/EAP458/EAP458_1_5_1/1.jp2/full/!600,300/0/default.jpg"
"6","First rights","        This palm-leaf document details the first right (honour) to the aatiinham (religious head) by the kulam (clan) of caattantai and aanthai from the villages of kantamaapuri, eLumaattuur, muttuur, veLLooTu. A few palm-leaves are damaged and therefore not fully readable. Physical characteristics/Extent and format of original material: Palmyra leaf (borassus flabellifer); height 3cm, width 36cm; sideline perforation; few palm-leaves are broken. 1 handwritten palm-leaf document (15 palm-leaves) Creation dates of original material (Gregorian and/or Tamil calendar): no date                                                          View images from this file (36)                                    ","EAP458/1/6/1","36 digital images in TIFF format","Manuscript","File","Tamil","Tamil","19th century-20th century","Access is for research purposes only","https://images.eap.bl.uk/EAP458/EAP458_1_6_1/1.jp2/full/!600,300/0/default.jpg"
"7","First rights","        This palm-leaf document describes the first rights (honour) given to coLiyaaNTaa kavuNTanh, son of aaNTaa kavuNTanh belonging to panhangkaaTai kuuTTam (clan) by villagers of ezumaattuur. Physical characteristics/Extent and format of original material: Palmyra leaf (borassus flabellifer); height 3cm, width 36cm; sideline perforation; few palm-leaves are broken in the corner. 1 handwritten palm-leaf document (3 palm-leaves) Creation dates of original material (Gregorian and/or Tamil calendar): vikaari/maarikazi/13                                                          View images from this file (12)                                    ","EAP458/1/7/1","12 digital images in TIFF format","Manuscript","File","Tamil","Tamil","19th century-20th century","Access is for research purposes only","https://images.eap.bl.uk/EAP458/EAP458_1_7_1/1.jp2/full/!600,300/0/default.jpg"
"8","History of pazaiya kooTTai pattakaarar","        This palm-leaf document gives the history of pazaiya kooTTai pattakaarar (""title holder"") and the names of other pattakararkkaL of the same region in a chronological order. A few palm-leaves are damaged and therefore not fully readable. Physical characteristics/Extent and format of original material: Palmyra leaf (borassus flabellifer); height 3cm, width 38cm; sideline perforation; few palm-leaves are broken while most of them are damaged. 1 handwritten palm-leaf document (9 palm-leaves) Creation dates of original material (Gregorian and/or Tamil calendar): no date                                                          View images from this file (8)                                    ","EAP458/1/8/1","8 digital images in TIFF format","Manuscript","File","Tamil","Tamil","19th century-20th century","Access is for research purposes only","https://images.eap.bl.uk/EAP458/EAP458_1_8_1/1.jp2/full/!600,300/0/default.jpg"
"9","History of veetanalluur veLLaaLar","        This palm-leaf document gives the history of veetanalluur veLLaaLar.  Physical characteristics/Extent and format of original material: Palmyra leaf (borassus flabellifer); height 4cm, width 20cm; sideline perforation. 1 handwritten palm-leaf document (21 palm-leaves) Creation dates of original material (Gregorian and/or Tamil calendar): no date                                                          View images from this file (48)                                    ","EAP458/1/9/1","48 digital images in TIFF format","Manuscript","File","Tamil","Tamil","19th century-20th century","Access is for research purposes only","https://images.eap.bl.uk/EAP458/EAP458_1_9_1/1.jp2/full/!600,300/0/default.jpg"
"10","Land sale","        This palm-leaf document deals about land sale between lingkanha kavuNTanh of civakiri and aaRumukam cuppanh of kiizappaaLaiyam village of civakiri. It also contains one official seal in English (Treasury), Urdu and Tamil Physical characteristics/Extent and format of original material: Palmyra leaf (borassus flabellifer); height 4cm, width 42cm; sideline perforation; corner of the palm-leaf is broken. 1 handwritten palm-leaf document (1 palm-leaf) Creation dates of original material (Gregorian and/or Tamil calendar): pilavangka/pangkunhi/23                                                          View images from this file (8)                                    ","EAP458/1/10/1","8 digital images in TIFF format","Manuscript","File","Tamil","Tamil","19th century-20th century","Access is for research purposes only","https://images.eap.bl.uk/EAP458/EAP458_1_10_1/1.jp2/full/!600,300/0/default.jpg"
