"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","Nahwu Sarf (The Arabic Grammar)","

        This manuscript contains the Arabic grammar: The explanation of the letters, noun, verbs, and tenses and including its practice in building sentences. It was used as the resources in Islamic teaching and learning in Surau Bintungan Tinggi, especially to understand others Arabic manuscripts.

                  
            
              
              View images from this file (388)
            
          
              ","EAP144/1/1","389 Tiff images","Manuscript","File","Arabic, Minangkabau","Arabic","Mid 18th century-Early 20th century","Access is for research purposes only"
"2","Shifatu al-Allah (The Characteristics of Allah)","

        This manuscript contains the Sufism text: The explanation of Allah’s characteristic, essence, and the substance in Sufism’s perspective. It’s seems that one last article is not complete. It was used as the resources in Islamic and tarekat teaching and learning in Surau Bintungan Tinggi.

                  
            
              
              View images from this file (147)
            
          
              ","EAP144/1/2","147 Tiff images","Manuscript","File","Arabic","Arabic","Mid 18th century-Early 20th century","Access is for research purposes only"
"3","Nahwu (The Arabic Grammar)","

        This manuscript contains Arabic grammar: The explanation on definition of words, letter, noun, verb, and its practice in building sentences. It was used as one of the resources of Islamic teaching and learning, especially in Surau Baru Bintungan Tinggi.

                  
            
              
              View images from this file (308)
            
          
              ","EAP144/1/3","520 Tiff images","Manuscript","File","Arabic","Arabic","Mid 18th century-Early 20th century","Access is for research purposes only"
"4","Nahwu (The Arabic Grammar)","

        This manuscript contains the Arabic grammar: The explanation on definition of words, letter, noun, verb, and its practice in building sentences. It was used as the resources in Islamic teaching and learning, especially in Surau Baru Bintungan Tinggi. It’s seems that the text is not complete.

                  
            
              
              View images from this file (61)
            
          
              ","EAP144/1/4","61 Tiff images","Manuscript","File","Arabic","Arabic","Mid 18th century-Early 20th century","Access is for research purposes only"
"5","Fiqh (The Islamic Rules)","

        This manuscript contains the Islamic rules: The explanation about the daily rules for the followers of Islam. It was used as one of the resources of Islamic teaching and learning, especially in Surau Baru Bintungan Tinggi.

                  
            
              
              View images from this file (298)
            
          
              ","EAP144/1/5","298 Tiff images","Manuscript","File","Arabic","Arabic","Mid 18th century-Early 20th century","Access is for research purposes only"
"6","Nahwu Sarf (The Arabic Grammar)","

        This manuscript contains the Arabic grammar: The explanation about the letters, nouns, verb, tenses, and including its practice in building sentences. It was used as one of the resources of Islamic teaching and learning in Surau Baru Bintungan Tinggi, especially to understand others Arabic texts.

                  
            
              
              View images from this file (301)
            
          
              ","EAP144/1/6","301 Tiff images","Manuscript","File","Arabic","Arabic","Mid 18th century-Early 20th century","Access is for research purposes only"
"7","The Compilation of Islamic Texts","

        This manuscript contains compilation of the Islamic texts: fiqh (the Islamic rules, tajwid (rules in reading Qur'an, tasawuf (Sufism in Moslem), Islamic logic, and ethic of teaching and learning. It was used as the resources in Islamic and tarekat teaching and learning, especially in Surau Baru Bintungan Tinggi.

                  
            
              
              View images from this file (363)
            
          
              ","EAP144/1/7","363 Tiff images","Manuscript","File","Arabic, Minangkabau","Arabic","Mid 18th century-Early 20th century","Access is for research purposes only"
"8","Tafsir (The Interpretation of the Holy Qur'an)","

        This manuscript contains the interpretation of the Holy Qur'an, not complete. It was used to understand the contents of the Qur'an and as the resources in Islamic teaching and learning in Surau Baru Bintungan Tinggi.

                  
            
              
              View images from this file (649)
            
          
              ","EAP144/1/8","649 Tiff images","Manuscript","File","Arabic","Arabic","Mid 18th century-Early 20th century","Access is for research purposes only"
"9","Qur'an","

        This manuscript contains the text of the Qur'an; not complete. This manuscript was used as the main the resources in Islamic teaching and learning in Surau Bintungan Tinggi.

                  
            
              
              View images from this file (405)
            
          
              ","EAP144/1/9","425 Tiff images","Manuscript","File","Arabic","Arabic","Mid 18th century-Early 20th century","Access is for research purposes only"
"10","Fiqh (The Islamic Rules)","

        This manuscript contains fiqh (the Islamic rules): Its explanation about shalat (Islamic pray or daily worship practiced 5 times a day), trading, war, hunting, and others rules on Islamic activities. This manuscript was used as the resources in Islamic teaching and learning, espeacially in Surau Bintungan Tinggi.

                  
            
              
              View images from this file (465)
            
          
              ","EAP144/1/10","465 Tiff images","Manuscript","File","Arabic","Arabic","Mid 18th century-Early 20th century","Access is for research purposes only"
