"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal"
"1","Appeal [1950s]","

        Extent of original: Single sided printed broadside. Medium of original: Printed on paper of 17 cm ×20 cm. Description: This broadside was circulated on 15 December 1957. This publication was circulated by Rāshṭriya Prajā Pāṭī. The circulation pays the parties attention to the protest against the satyagraha called by the party. Creator: Rāshṭriya Prajā Pāṭī.

                  
            
              
              View images from this file (1)
            
          
              ","EAP272/1/1/1","1 Tiff image","Newsletter","File","Nepali","Devanagari","1950s","Access is for research purposes only."
"2","KarmavīraKā Nārā [1950s]","

        Extent of original: Single side printed broadside. Medium of original: Printed on paper of 12.5 cm ×19 cm. Description: This broadside was circulated by a group called Karmavīra MahāMaṇḍala. This group is a publication group which published a periodical called “Karmavīra”. This broadside contains the slogan of the group. This circulation was printed and distributed during 1950s. Creator: Karmavīra MahāMaṇḍala.

                  
            
              
              View images from this file (1)
            
          
              ","EAP272/1/1/2","1 Tiff image","Newsletter","File","Nepali","Devanagari","1950s","Access is for research purposes only."
"3","KarmavīraKā Siddhānta [1956]","

        Extent of original: Single side printed broadside. Medium of original: Printed on paper of 12.5 cm ×26 cm. Description: This broadside was circulated by Karmavīra MahāMaṇḍala, a political group running a periodical called Karmavīra. The circulation consists of the basic principles of the group which was published on 1956. Creator: Karmavīra MahāMaṇḍala.

                  
            
              
              View images from this file (1)
            
          
              ","EAP272/1/1/3","1 Tiff image","Newsletter","File","Nepali","Devanagari","1956","Access is for research purposes only."
"4","Karmavīra Sutra [1950s]","

        Extent of original: Pamphlet containing four pages. Medium of original: Printed on paper of 12.5 cm ×19 cm. Description: This pamphlet containing four pages was also circulated by Karmavīra MahāMaṇḍala. This circulation consists of the different political philosophies adopted by this group. The circulation was printed and distributed during 1950s. Creator: Karmavīra MahāMaṇḍala.

                  
            
              
              View images from this file (4)
            
          
              ","EAP272/1/1/4","4 Tiff images","Pamphlet","File","Nepali","Devanagari","1950s","Access is for research purposes only."
"5","Untitled [1940s]","

        Extent of original: Single side printed broadside. Medium of original: Printed on paper of 17.25 cm ×32 cm. Description: This broadside was circulated by Jayatu SaṃṅSkṛtam, a group devoted in education. This broadside contains the request for the general public to donate whatever they can to the students. As the group was formed in 1947, this circulation can be believed to be circulated during 1940s. Creator: Jayatu SaṃṅSkṛtam.

                  
            
              
              View images from this file (1)
            
          
              ","EAP272/1/1/5","1 Tiff image","Newsletter","File","Nepali","Devanagari","1940s","Access is for research purposes only."
"6","Pālnuhos! Pālnuhos!! [1950s]","

        Extent of original: Single side printed broadside. Medium of original: Printed on paper of 13 cm × 16 cm. Description: This broadside was printed and circulated by a coordination committee formed to strengthen the newly established democracy in Nepal. This circulation contains the information about a mass meeting being held against the activities of the political parties. This circulation also says that the mass meeting is being addressed by Jīvarāja Śarmā, Bhadrakālī Miśra, Bhairava Prasāda Ācārya and Hṛshikeśa Śāha all of who became famous leaders in the later history of Nepal. Creator: Coordinating committee.

                  
            
              
              View images from this file (1)
            
          
              ","EAP272/1/1/6","1 Tiff image","Newsletter","File","Nepali","Devanagari","1950s","Access is for research purposes only."
"7","Prajātāntrika Morcākā Viruddha Pratibāda [1950s]","

        Extent of original: Single side printed broadside. Medium of original: Printed on paper of 19 cm × 26 cm. Description: This broadside was circulated by Karmavīra Mahāmaṇḍala. This circulation contains the appeal to the public to pressurize the government to conduct the first general election. The details suggest that the circulation was published in distributed between 1950 to 1959. Creator: Karmavīra Mahāmaṇḍala.

                  
            
              
              View images from this file (1)
            
          
              ","EAP272/1/1/7","1 Tiff image","Newsletter","File","Nepali","Devanagari","1950s","Access is for research purposes only."
"8","Rāshṭriya Prajā Pārṭīko Pradarśana Āvāja Morchhā Pārṭī Kuṭanītiko Birodhamā [1958]","

        Extent of original: Single side printed broadside. Medium of original: Single side printed broadside. Description: This broadside was printed and distributed by the Rāshṭriya Prajā Pārṭī in 1958. This broadside contains the slogans of the party and the party has also pressurized the government to conduct the election timely. Creator: Rāshṭriya Prajā Pārṭī.

                  
            
              
              View images from this file (1)
            
          
              ","EAP272/1/1/8","1 Tiff image","Newsletter","File","Nepali","Devanagari","1958","Access is for research purposes only."
"9","Rāshṭriya Janarājya Parishad Dvārā Upasthāpita MāṃṅGaharū [1955]","

        Extent of original: Brochure containing five pages. Medium of original: Printed on paper of 12.5 cm × 19 cm. Description: This pamphlet was printed and distributed by Rāshṭriya Janarājya Parishad which was established in 1955. The circulation consists of different demands of the party regarding the security and administrative reformation of the country. Creator: Rāshṭriya Janarājya Parishad.

                  
            
              
              View images from this file (5)
            
          
              ","EAP272/1/1/9","5 Tiff images","Pamphlet","File","Nepali","Devanagari","1955","Access is for research purposes only."
"10","Nagara Saphāī Āndolana Ra Tyasako Rājanītika Artha [1950s]","

        Extent of original: Brochure containing four pages. Medium of original: Printed on paper of 14 cm × 23 cm. Description: This pamphlet was published by Nepali congress party. This circulation consists of the information about Nepali Congress Party’s movement of constructive work. This pamphlet contains the appeal to the public to support their movement of cleaning the city. This publication was published during 1950s. Creator: Nepali Congress.

                  
            
              
              View images from this file (4)
            
          
              ","EAP272/1/1/10","4 Tiff images","Pamphlet","File","Nepali","Devanagari","1950s","Access is for research purposes only."
"11","Nakkali Netāharudekhi Janatā Hośiyāra [1954]","

        Extent of original: Single side printed broadside. Medium of original: Printed on paper of 19 cm × 25 cm. Description: This circulation of the pamphlet contains the criticism of the activities of the interim government formed after the revolution of 1950. The pamphlet mainly contains the criticism of the members of the ministry head by Mr. Matrika Prasad Koirala including Tanka Prasad Acharya and Bal Chandra Sharma. The exact date of the publication has not been printed anywhere in the publication however, looking at the description and the collector’s note, it can be said that the pamphlet was published in 1954. The creator’s name is given as “Ramesh”. Creator: Ramesh.

                  
            
              
              View images from this file (1)
            
          
              ","EAP272/1/1/11","1 Tiff image","Pamphlet","File","Nepali","Devanagari","1954","Access is for research purposes only."
"12","Hāmīle Śrī Regmījīko Kāryakāriṇī Samītimā Bhāgalina Kina Asvīkāra Garyauṃṅ[22 May 1952]","

        Extent of original: Brochure printed on both sides. Medium of original: Printed on paper of 14.5 cm × 25 cm. Description: This circulation consists of the protest of the four party members of Nepali congress to participate in the executive committee of Nepali Congress formed by Dr. Dilli Raman Regmi. The two paged pamphlet contain suggestion to the party for its democratization. The circulation was made by the party members of Nepali Congress - Shanker Prasad Sharma, Rishikesh Shah, Bhakta Bahadur and Shiva Prasad Bhattrai on 22 May 1952. Creator: Shanker Prasad Sharma, Rishikesh Shah, Bhakta Bahadur and Shiva Prasad Bhattrai.

                  
            
              
              View images from this file (2)
            
          
              ","EAP272/1/1/12","2 Tiff images","Pamphlet","File","Nepali","Devanagari","22 May 1952","Access is for research purposes only."
