"","Page Title","Description","Reference","Extent","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Arabic Religious Text","

        Small bound manuscript of a maulud text, mainly in Arabic. Physical characteristics of original material: No cover, pages stained and torn at the edges. Dimensions: L 17.3 W 11.2 H 3mm. Extent and format of original material: one volume of forty folios. Custodial history: Inherited from B.D.K Saldin's father upon his death in 1955. Assumed they belonged to grandfather.

                  
            
              
              View images from this file (44)
            
          
              ","EAP609/1/1","44 TIFF images","File","Arabic","Arabic","Mid 19th century-Late 19th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Old Arabic Text","

        Manuscript consisting of very tattered pages, incomplete. Prayers and recitations in Arabic with occasional lines in Arabu-Tamil. Physical characteristics of original material: Dimensions: L 21 W 14 (dimensions of largest page). Extent and format of original material: unbound manuscript, 21 folios. Custodial history: Inherited from B.D.K Saldin's father upon his death in 1955. Assumed they belonged to grandfather. Owner of original material: B.D.K Saldin.

                  
            
              
              View images from this file (21)
            
          
              ","EAP609/1/2","21 TIFF images","File","Arabic","Arabic","Mid 19th century-Late 19th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","Abdul Hamid Singalaxana Diary","

        Bound dark brown notebook, covered with cellophane. A record of family events – births, deaths etc. Abdul Hamid Singalaxana was B.D.K Saldin's grand-uncle from his paternal and maternal sides, due to intermarriage within the family. Creation dates: earliest entry 1868; latest 1963. Physical characteristics of original material: A bit frayed at the edges. Dimensions: L 21 W 16 H 1.5. Extent and format of original material: notebook, 103 folios. Custodial history: Given to B.D.K by his uncle – Tuan Bagus Saldin. The diary was maintained by Mr. Abdul Hamid Singalaxana, BDK Saldin’s grand-uncle. Tuan Bagus Saldin tried to continue entering details in the diary but didn’t succeed. He then gave it to BDK. Owner of original material: B.D.K Saldin.

                  
            
              
              View images from this file (104)
            
          
              ","EAP609/1/3","104 TIFF images","File","English","Latin","1868-1963","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_1_3/2.jp2/full/!600,300/0/default.jpg"
"4","Arabu-Tamil Salat Tasbih","

        Bound manuscript, various prayers and recitations. Some of the material is in Arabu-Tamil. Physical characteristics of original material: In very poor state; damaged spine and pages. Some pages torn. Written in different hands. Dimensions: L 21 W 16.5 H 3.5. Extent and format of original material: bound manuscript, 365 folios. Custodial history: Inherited from his father upon his death in 1955. Assumed they belonged to grandfather. Owner of original material: B.D.K Saldin.

                  
            
              
              View images from this file (369)
            
          
              ","EAP609/1/4","369 TIFF images","File","Arabic","Arabic","Mid 19th century-Late 19th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","Malay Songs and Lyrics","

        Small book, pink and white cover. Popular Malay songs in Sri Lankan Malay by Mansour Aarifeen Sourjah. Published 1997. Physical characteristics of original material: Includes signed dedication to B.D.K Saldin dated 15.9.1997. Extent and format of original material: book, 28 folios. Custodial history: Received as a gift from the author in 1997. Owner of original material: B.D.K Saldin.

                  
            
              
              View images from this file (32)
            
          
              ","EAP609/1/5","32 TIFF images","File","Malay","Latin","1997","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","Pocket Prayer Book","

        Small book, seems to have been put together as a pocket book. Found inside a larger book (Arabic Religious Text), prayers. Physical characteristics of original material: Good condition but pages damaged at edges, discolored. Dimensions: L 6 W 4. Extent and format of original material: small booklet, 3 folios, some blank pages. Custodial history: Belonged to T.A. Saldin. Owner of original material: B.D.K Saldin.

                  
            
              
              View images from this file (5)
            
          
              ","EAP609/1/6","5 TIFF images","File","Arabic, English","Arabic, Latin","Mid 19th century-Late 19th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","Malay Grammar and Dictionary","

        Printed Malay-English dictionary and grammar. First pages missing, including title and publishing details. End also missing. Recently re-bound. Each English word is followed by Malay in Gundul and Romanised transliteration. Physical characteristics of original material: Pages damaged, stained, crumpled at corners. Torn or cut in some places. Beginning and end missing. Extent and format of original material: incomplete book, 173 folios. Custodial history: Belonged to Newnham Preena, a late cousin, who passed it to A.T Abdue, cousin of the late Sheila Saldin, who gave it to B.D.K Saldin. Owner of original material: B.D.K Saldin.

                  
            
              
              View images from this file (174)
            
          
              ","EAP609/1/7","174 TIFF images","File","Malay, English","Arabic, Latin","19th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_1_7/1.jp2/full/!600,300/0/default.jpg"
"8","Saldin Family Records","

        This is the diary of family records of Tuan Junaideen Saldin, BDK Saldin’s father, recording events including births, deaths, marriages, career records. Creation dates: births recorded from as early as 1906 but most records are from the 1940s onwards. Physical characteristics of original material: Good condition. Many blank pages. Pages arranged alphabetically (births, deaths…). Dimensions: L 33 W 21 H 3. Extent and format of original material: bound notebbok, 27 folios. Custodial history: B.D.K Saldin, the current owner, continued writing for a while but then switched to keeping records on a computer. Owner of original material: B.D.K Saldin.

                  
            
              
              View images from this file (31)
            
          
              ","EAP609/1/8","31 TIFF images","File","English","Latin","20th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_1_8/1.jp2/full/!600,300/0/default.jpg"
"9","Malay Compendium","

        

                  
            
              
              View images from this file (272)
            
          
              ","EAP609/1/9","272 TIFF images","File","Malay","Arabic","20th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_1_9/1.jp2/full/!600,300/0/default.jpg"
"10","Syair Taj al-Muluk","

        Partial printed text of the poem Syair Taj al-Muluk, bound within an exercise book cover. Bottom of title page reads: ""tercap di tempat Muhammad Idris numbar 21 Haji Lane."" End missing. Creation dates: 1920s-1930s? Gundal script. Physical characteristics of original material: Fairly good condition. Pages discoloured. Edges are damaged. The cover is a late addition, relatively new. Dimensions: L19 W 13.5 H 0.5. Extent and format of original material: booklet, 94 folios. Owner of original material: Gnei Fathin Basiron (Abbas).

                  
            
              
              View images from this file (94)
            
          
              ","EAP609/2/1","94 TIFF images","File","Malay","Arabic","Early 20th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP609/EAP609_2_1/1.jp2/full/!600,300/0/default.jpg"
