"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","༄། །གུ་རུ་དྲག་སོ་ཐེམ་མདོ་ལས། བསྒྲལ་ལས་བསད་ཡ་ལས་བཅུ་བཞུགས་སོ།། Daley (The stone breaking text) Late 20th Century","        A traditional undecorated and unbound Tibetan book (pecha). Printed in Tibetan Umed script on separate sheets of paper. (complete). Condition good. Size 340 x 85mm. 1 file of folios. The material is owned by Meme Dorje Phuntsog and has been handed down from father to son through several generations of head Buchen. These Tibetan texts are in numbered sequence.                                                          View images from this file (19)                                    ","EAP749/1/1/1","19 Tiff files","NA","File","Tibetan","Tibetan","2012","Access is for research purposes only.","https://images.eap.bl.uk/EAP749/EAP749_1_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","༄། །རྒྱལ་པོ་དྲི་མེད་ཀུན་ལྡན་གྱི་རྣམ་ཐར་བཞུགས་སོ།། The story of Drimet Kunden Mid 19th Century","        A traditional handwritten, undecorated and unbound Tibetan book (pecha), telling the story of the Drimet Kunden, a manifestation of Avalokitesvara/Chenresig the Buddha of Compassion. Written in Tibetan Uchen script on separate sheets of paper. Condition good but incomplete. Size 320 x 95mm. Age approx 150 years or more. Date suggested by text owner and corroborated by Takpa Tenzin of LTWA. 1 file of folios. The material is owned by Meme Dorje Phuntsog and has been handed down from father to son through several generations of head Buchen. These Tibetan texts are in numbered sequence.                                                          View images from this file (35)                                    ","EAP749/1/1/2","35 Tiff files","NA","File","Tibetan","Tibetan","2012","Access is for research purposes only.","https://images.eap.bl.uk/EAP749/EAP749_1_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","༄། །དགེ་སློང་མ་དཔལ་མོའི་རྣམ་ཐར་ཞུགས་སོ།། The story of Gelong Ma Palmo (additional handwritten pages) 21st century","        Additional new pages written in biro to accompany EAP749_Mud_DP_Txt5. Condition good (handwritten). These are the first pages of the text, replacing mssing folios. Size 410 x 80mm. 1 file of folios. The material is owned by Meme Dorje Phuntsog and has been handed down from father to son through several generations of head Buchen. These Tibetan texts are in numbered sequence.                                                          View images from this file (6)                                    ","EAP749/1/1/3","6 Tiff files","NA","File","Tibetan","Tibetan","2012","Access is for research purposes only.","https://images.eap.bl.uk/EAP749/EAP749_1_1_3/1.jp2/full/!600,300/0/default.jpg"
"4","༄། །དགེ་སློང་མ་དཔལ་མོའི་རྣམ་ཐར་ཞུགས་སོ།། The story of Gelong Ma Palmo Mid 19th Century","        A traditional handwritten, undecorated and unbound Tibetan book (pecha), Written in Tibetan Uchen script on separate sheets of paper. It is in generally good condition for its age of 150 years or so.(incomplete). Size 410 x 80mm. 1 file of folios. The material is owned by Meme Dorje Phuntsog and has been handed down from father to son through several generations of head Buchen. These Tibetan texts are in numbered sequence.                                                          View images from this file (114)                                    ","EAP749/1/1/4","114 Tiff files","NA","File","Tibetan","Tibetan","2012","Access is for research purposes only.","https://images.eap.bl.uk/EAP749/EAP749_1_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","༄། །སྤྲུལ་བའི་ལོ་ཆེན་རཏྣ་བྷདྲའི་འབྱུང་ཁུངས་ལོ་རྒྱུས་དང་བཅས་པ་བཞུགས་སོ།། The story of Ratna Bhadra/ Ranapatta Mid 20th century","        A traditional handwritten, undecorated and unbound Tibetan book (pecha). Written in Tibetan Uchen script on separate sheets of paper. Pages 1 to 8 (complete). Condition good (handwritten). Size 400 x 85mm. 1 file of folios. The material is owned by Meme Dorje Phuntsog and has been handed down from father to son through several generations of head Buchen. These Tibetan texts are in numbered sequence.                                                          View images from this file (13)                                    ","EAP749/1/1/5","13 Tiff files","NA","File","Tibetan","Tibetan","2012","Access is for research purposes only.","https://images.eap.bl.uk/EAP749/EAP749_1_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","༄། །གཏོར་བསྔོ་བཞུགས་སོ།། Torma text Mid 20th century","        A traditional handwritten, slightly decorated and unbound Tibetan book (pecha). Written in Tibetan Uchen script on separate sheets of paper (complete). Condition good. Size 310 x 75mm. 1 file of folios. The material is owned by Meme Dorje Phuntsog and has been handed down from father to son through several generations of head Buchen. These Tibetan texts are in numbered sequence.                                                          View images from this file (20)                                    ","EAP749/1/1/6","20 Tiff files","NA","File","Tibetan","Tibetan","2012","Access is for research purposes only.","https://images.eap.bl.uk/EAP749/EAP749_1_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","མཁའ་འགྲོའི་བུ་མོ་འགྲོ་བ་བཟང་མོ༏ Drowa Zangmo Thankga late 20th Century","        Unmounted modern cloth Thangka commissioned from painter Rinchen Choepel (deceased) in Dremul 30 to 40 years ago. Image (Melong) size 80 x 55 cm. Good condition. One Thangka. This Thangka was also photographed thoroughly as a single file EAP548_Mud_DP_Tnka1. Commissioned from the Spiti Thangka painter Sonam Angdui in Kaza(tbcf). The material is owned by Meme Dorje Phuntsog and has been handed down from father to son through several generations of head Buchen.                                                          View images from this file (21)                                    ","EAP749/1/2/1","21 Tiff files","NA","File","Tibetan","Tibetan","2014","Access is for research purposes only.","https://images.eap.bl.uk/EAP749/EAP749_1_2_1/1.jp2/full/!600,300/0/default.jpg"
"8","Nyella (Hell) Thankga, illustrating the story of Delok Lingsa choskyit, the judgement of the dead and the many terrifying Buddhist hells mid to late 19th century","        Mounted cloth thangka. Melong (image) dimension 80 x 510 cm. Some staining and cracking of paint. Otherwise fairly good condition, no big tears or holes. One Thangka. This Thangka was also photographed as a single file EAP548_Mud_DP_Tnka2_1. The material is owned by Meme Dorje Phuntsog and has been handed down from father to son through several generations of head Buchen.                                                          View images from this file (18)                                    ","EAP749/1/2/2","18 Tiff files","NA","File","Tibetan","Tibetan","2014","Access is for research purposes only.","https://images.eap.bl.uk/EAP749/EAP749_1_2_2/1.jp2/full/!600,300/0/default.jpg"
"9","Charm Box: Kau (Wylie ga’u) གའུ། or Nam thak (Wylie rnam thag) རྣམ་ཐག Early 20th century","        A very fine copper charm box, 135 x 95 and 53 mm deep. Finely worked silver front, complete with embroidered red cloth cover and waist straps. Image of red Tadrin/Tamdin (Hyagryph). One charm box. The material is owned by Meme Dorje Phuntsog and has been handed down from father to son through several generations of head Buchen. All the materials in the archive are kept within the prayer room of the house. This was not seen: materials were brought out into the living room to be surveyed and documented.                                                          View images from this file (3)                                    ","EAP749/1/3/1","3 Tiff files","NA","File","NA","2014","Access is for research purposes only.","https://images.eap.bl.uk/EAP749/EAP749_1_3_1/1.jp2/full/!600,300/0/default.jpg","Charm Box: Kau (Wylie ga’u) གའུ། or Nam thak (Wylie rnam thag) རྣམ་ཐག Early 20th century"
"10","Dagger: Dorje Phorba (Wylie rdo rje phur pa) རྡོ་རྗེ་ཕུར་པ Mid 19th century","        Three headed (wrathful faced) dagger, faces coloured red, white and blue, the blade is also engraved with serpent design. 220 mm long. One dagger. The material is owned by Meme Dorje Phuntsog and has been handed down from father to son through several generations of head Buchen. All the materials in the archive are kept within the prayer room of the house. This was not seen: materials were brought out into the living room to be surveyed and documented.                                                          View images from this file (6)                                    ","EAP749/1/3/2","6 Tiff files","NA","File","NA","2014","Access is for research purposes only.","https://images.eap.bl.uk/EAP749/EAP749_1_3_2/1.jp2/full/!600,300/0/default.jpg","Dagger: Dorje Phorba (Wylie rdo rje phur pa) རྡོ་རྗེ་ཕུར་པ Mid 19th century"
