"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","""Tawhid, Ascension of The Prophet [c.16th century]""","        This manuscript contains information on all of the requirements of the Islamic faith (Jami'ul arkan) and deals with mysticism. It is divided into different texts: The creed of faith concerning the 20 characteristics of God, written by Ahmad Marzuki bin alm; Sajid Sharif's explanation of the book entitled an-Niqayah (about the pillars of religion and Sufism); the treatise of Ruslan of Damascus, a commentary of Abu Yahya Zakariya Al-Anshary under the title: Fathurahman about monotheism; Treatise of Sheikh Abdul Karim ibn Ibrahim al Jili about the perfect man (al Insan al Kamil); the treatise of the creed of Ahlus Sunnah wal Jamaah; and the News of the ascendancy of the Prophet. Extent and format of original material: 1 manuscript written on European paper. 335mm x 195mm. Length and width of text: 215mm x 130mm.                                                          View images from this file (245)                                    ","EAP211/1/1/1","245 Tiff images","Manuscript","File","Arabic, Javanese","Arabic, Javanese","16th century","For research purposes only.","https://images.eap.bl.uk/EAP211/EAP211_1_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Fiqh (Islamic Jurisprudence) [c.16th century]","        The way to do ablution and its explanations, the way to perform prayers, etc. Extent and format of original material: Daluwang paper. Length and width of manuscript:24 x 17.5 cm. Length and width of text:15 x 10.5 cm.                                                          View images from this file (146)                                    ","EAP211/1/1/2","146 Tiff images","Manuscript","File","Arabic, Javanese","Arabic, Javanese","16th century","For research purposes only.","https://images.eap.bl.uk/EAP211/EAP211_1_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","Religious Books [c.16th century]","        Advice / guidance and stories. Extent and format of original material: Daluwang paper. Length and width of manuscript:30 x 21.5 cm. Length and width of text:22 x 16.5 cm.                                                          View images from this file (151)                                    ","EAP211/1/1/3","151 Tiff images","Manuscript","File","Javanese","Javanese","16th century","For research purposes only.","https://images.eap.bl.uk/EAP211/EAP211_1_1_3/1.jp2/full/!600,300/0/default.jpg"
"4","History of Banyumas [c.16th century]","        History. Extent and format of original material: folio folded stripped paper. Length and width of manuscript:20.5 x 17 cm. Length and width of text:16.5 x 13.5 cm.                                                          View images from this file (229)                                    ","EAP211/1/1/4","229 Tiff images","Manuscript","File","Javanese","Javanese","16th century","For research purposes only.","https://images.eap.bl.uk/EAP211/EAP211_1_1_4/1.jp2/full/!600,300/0/default.jpg"
"5","Book concerning the part of Faith (Syu'batul Iman is the title; The copyist) [c.16th century]","        Book about Sufism and seven levels (Martabat tujuh); Kitab thaharoh (book of purification); the factors that destroy the deeds: feeling the great for the self, not sincere, arrogance, has a bad intention to others and other bad characters. The pillars of Islam and their explanations. The secret of man and its elements (the existence of God, the prophet and the light of the Prophet Muhammad). Extent and format of original material: European paper. Length and width of manuscript:17.5 x 12 cm. Length and width of text:16 x 11 cm.                                                          View images from this file (249)                                    ","EAP211/1/1/5","249 Tiff images","Manuscript","File","Javanese","Javanese","16th century","For research purposes only.","https://images.eap.bl.uk/EAP211/EAP211_1_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","The manuscript of The Prince Hidayat. Pulasaren Kacirebonan","         The trace of the dead well of the water called Zamzam. The story of Hagar and Sarah, the wives of the prophet Abraham. Extent and format of original material: European paper. Length and width of manuscript: 20.5 x 16.5 cm. Length and width of text:16 x 12.5 cm. Arabic, Javanese, Cirebon, Pegon alphabet.                                                          View images from this file (389)                                    ","EAP211/1/1/6","390 Tiff images","Manuscript","File","Arabic, Javanese","Arabic, Javanese","16th century","For research purposes only.","https://images.eap.bl.uk/EAP211/EAP211_1_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","Primbon (traditional magical accounts of) Wikantadirja","        Decision of the prayers of faith, praising God, remembrance of God, horoscope / the spell, and praying to avoid a hazard. Extent and format of original material: European paper. Length and width of manuscript:21 x 17.5 cm. Length and width of text:17 x 15 cm.                                                          View images from this file (187)                                    ","EAP211/1/1/7","187 Tiff images","Manuscript","File","Javanese","Arabic, Javanese","16th century","For research purposes only.","https://images.eap.bl.uk/EAP211/EAP211_1_1_7/1.jp2/full/!600,300/0/default.jpg"
"8","Manuscript on religion including a chapter on cosmology (Falakiyah)","        The command of Sultan Abul Mafakhir Abdul Qadir in his country to Qodi (judge) Musirudin. The articles about the immoral sanctions (from the book entitled muwahid Ar-Rubaniyyah of the one who believes in one God); the Book of cosmological writing (copyist); writing the years based on lunar calender (Qomariyah) and its comparison with the solar calender (Syamsiyah), and its comparison with pharisee, rumi and Qibti People; Recitation on Friday as the noblest day. Extent and format of original material: European paper. Length and width of manuscript:21 x 13.5 cm. Length and width of text:18 x 11.5 cm.                                                          View images from this file (49)                                    ","EAP211/1/1/8","49 Tiff images","Manuscript","File","Arabic, Javanese","Arabic, Javanese","16th century","For research purposes only.","https://images.eap.bl.uk/EAP211/EAP211_1_1_8/1.jp2/full/!600,300/0/default.jpg"
"9","Manuscript of Prince Hidayat (Primbon)","        Prayer, remembrance, horoscope, the traditions, the heritage and the influence of Imam Nawawi, al-Qubaisyi manuscript concerning the question: Is it permitted to pray without taking ablution and without closing the genitalia?; about shaving and cleansing the belly. Extent and format of original material: European paper. Length and width of manuscript:19.5 x 16 cm. Length and width of text:16 x 12 cm.                                                          View images from this file (29)                                    ","EAP211/1/1/9","29 Tiff images","Manuscript","File","Arabic, Javanese","Arabic, Javanese","16th century","For research purposes only.","https://images.eap.bl.uk/EAP211/EAP211_1_1_9/1.jp2/full/!600,300/0/default.jpg"
"10","Asnawi PA","        Extent and format of original material: Stripped paper. Maatschapij voor Uitvoer & Commissienandel Cheribon. Length and width of manuscript:20.7 x 16.3 cm. Length and width of text:17 x 14.5 cm.                                                          View images from this file (21)                                    ","EAP211/1/1/10","21 Tiff images","NA","File","Javanese","Javanese","2009-2010","For research purposes only.","https://images.eap.bl.uk/EAP211/EAP211_1_1_10/1.jp2/full/!600,300/0/default.jpg"
"11","Notes on religion and daily notes","         The prayers, notes of faith, teachings for the students (ta'lim muta'alim). Extent and format of original material: Paper striped. Internationale credieten. Length and width of manuscript:21.5 x 16.3 cm. Length and width of text:16 x 15.5 cm. Arabic, Javanese, Cirebon, Pegon alphabet.                                                          View images from this file (19)                                    ","EAP211/1/1/11","19 Tiff images","Manuscript","File","Javanese","Arabic, Javanese","16th century","For research purposes only.","https://images.eap.bl.uk/EAP211/EAP211_1_1_11/1.jp2/full/!600,300/0/default.jpg"
