"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"1","Bhāgavatapurāṇa (Rudragīta)","        It is one of the 18 Mahāpurāṇas and a canonical text of the Vaishnavas. It is divided into 12 chapters called Skandha. The MS contains the 24th chapter of the 4th skandha of Bhāgavata Purāṇa.There is a haplologic error. In the original, the next line starts with Śrīrudra uvāca। yūyaṁ vediṣadaḥ putrāḥ. But the scribe started Śrīrudra uvāca। jitaṁ ta ātmaviddhurya. Actually this line comes after a few lines. It, however, ends at the end of the 24th chapter. Extent and format of original and physical characteristics: 5 Folios; Incomplete MS.; Extremely fragile. The original size of the folios are 33X8 cm. Author: Vedavyāsa (according to the tradition).                                                          View images from this file (12)                                    ","EAP781/1/1/1","12 TIFF Images","NA","File","Sanskrit","Bengali","6th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP781/EAP781_1_1_1/1.jp2/full/!600,300/0/default.jpg"
"2","Viṣṇusahasranāman","        This text reckons the thousand names of Viṣṇu. It is a part of the Dānadharma Parvan, an upaparvan under the Anuśāsana parvan of the Mahābhārata. The colophon erroneously ascribes it to be a part of Śāntiparvan. But it is actually a part of Anuśāsanaparvan. Extent and format of original and physical characteristics: 14 Folios; Complete MS.; Extremely fragile. The original size of the folios are 34X8 cm. Author: Vedavyāsa (according to the tradition); Scribe: Ānanda Gopāladharāmara. Date of original material: before 6th century.                                                          View images from this file (30)                                    ","EAP781/1/1/2","30 TIFF Images","NA","File","Sanskrit","Bengali","6th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP781/EAP781_1_1_2/1.jp2/full/!600,300/0/default.jpg"
"3","Kavikalpadruma","        It is a versified lexicon of Sanskrit verb roots along with their meaning (Dhātupāṭha). Vopadeva used to live at Vedapada (G. B. Palsule identifies it as Bedoda, situated in the Adilabad district in the then Hyderabad state, at a distance of about 10 miles to the west of the river Vardha) in the state Varadatata (Vidarbha). Extent and format of original and physical characteristics: 31 Folios; Complete MS.; Extremely fragile. The original size of the folios are 33X8 cm. Author: Vopadeva; Scribe: Ṭhākuradāsa. The place of composition of this manuscript is Vidarbha.                                                          View images from this file (64)                                    ","EAP781/1/1/3","64 TIFF Images","NA","File","Sanskrit","Bengali","13th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP781/EAP781_1_1_3/1.jp2/full/!600,300/0/default.jpg"
"4","Utpattitantra & Vāmaliṅgapramāṇa or Bāṇaliṅgapramāṇa or Bāṇaliṅgacihna","        Tantric text. It consists of 20 Paṭalas of the Utpattitantra starting from 362 up to 381 in 57 folios. These patalas belong to the chapter called Jnanotpatti. According to the colophon Vāmaliṅgapramāṇa or Bāṇaliṅgapramāṇa is a part of the Nārada-Gautama-Saṁvāda of Vāyu Purāṇa, one of the 18 Mahāpurāṇas. Extent and format of original and physical characteristics: 57 Folios; Incomplete MS.; Extremely fragile. The original size of the folios are 36X9 cm. Author: According to the tradition, no human-being can be the author of the Agamas. These are mystically handed down.                                                          View images from this file (117)                                    ","EAP781/1/1/4","117 TIFF Images","NA","File","Sanskrit","Bengali","Access is for research purposes only.","https://images.eap.bl.uk/EAP781/EAP781_1_1_4/1.jp2/full/!600,300/0/default.jpg","Utpattitantra & Vāmaliṅgapramāṇa or Bāṇaliṅgapramāṇa or Bāṇaliṅgacihna"
"5","Nāmaliṅgānuśāsana or Amarakośa","        It is the foremost Sanskrit lexicographic text. Original text is divided into 3 Kāṇḍas. Each Kāṇḍas are again divided into many Vargas. This MS consists of text up to 91st verse of the Manuṣyavarga of the 2nd Kāṇḍa. First Kāṇḍa ends at folio no. 30.The text consists of gloss in some pages. Extent and format of original and physical characteristics: 58 Folios; Incomplete MS.; Extremely fragile. The original size of the folios are 35X8 cm. Author: Amarasiṁha.                                                          View images from this file (118)                                    ","EAP781/1/1/5","118 TIFF Images","NA","File","Sanskrit","Bengali","5th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP781/EAP781_1_1_5/1.jp2/full/!600,300/0/default.jpg"
"6","Raghuvaṁśa","        Literature. Mahākāvya. The story of the Raghu dynasty. The text of this MS stops at the middle of canto 11 while there are 19 cantos in the original text. 10th canto ends in 80th folio. Extent and format of original and physical characteristics: 85 Folios; Incomplete MS.; Extremely fragile. The original size of the folios are 35X7 cm. Author: Kālidāsa.                                                          View images from this file (172)                                    ","EAP781/1/1/6","172 TIFF Images","NA","File","Sanskrit","Bengali","4th century-5th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP781/EAP781_1_1_6/1.jp2/full/!600,300/0/default.jpg"
"7","Aśaucasaṅkṣepa","        The book deals with aśauca, one of the major topics of Dharmaśāstra. The author was the disciple of Vāsudeva Sārvabhauma and was a guru of Gīva Goswāmin. Extent and format of original and physical characteristics: 17 Folios; Complete MS.; Extremely fragile. The original size of the folios are 35X8 cm. Author: (Mahāmahopādhyāya) Madhusūdana (Caṭṭa)Vācaspati (Bhaṭṭācārya); Scribe: Vanamālin. The place of composition of this manuscript is Bengal.                                                          View images from this file (36)                                    ","EAP781/1/1/7","36 TIFF Images","NA","File","Sanskrit","Bengali","15th century-16th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP781/EAP781_1_1_7/1.jp2/full/!600,300/0/default.jpg"
"8","Prāyaścittasārasaṅgraha","        The text deals with prāyaścitta (expiation), one of the major topics of Dharmaśāstra. The marginalia refers to the text as Prāyaścittavyavasthā. Date of original material: not known (certainly medieval or late medieval period text). Extent and format of original and physical characteristics: 8 Folios; It appears to be an Incomplete MS. No colophon is found.; Extremely fragile. The original size of the folios are 35X8 cm. Author: Kāśīnātha Śarman. The place of composition of this manuscript is Bengal.                                                          View images from this file (18)                                    ","EAP781/1/1/8","18 TIFF Images","NA","File","Sanskrit","Bengali","Access is for research purposes only.","https://images.eap.bl.uk/EAP781/EAP781_1_1_8/1.jp2/full/!600,300/0/default.jpg","Prāyaścittasārasaṅgraha"
"9","Udvāhatattva","        A Dharmaśāstric text which deals with marital laws. This book is a part of author’s encyclopaedic work, Smṛtitattva that is divided into 28 sections each of which bear the appellation Tattva. The first page is not the beginning of the text. The text actually begins in the second page. The text on the first page is from the later section (dealing with 'strīṇāṁ dūṣaṇāni') of the same text. Extent and format of original and physical characteristics: 13 Folios; It appears to be an Incomplete MS. No colophon is found.; Extremely fragile. The original size of the folios are 35X8 cm. Author: Raghunandana Bhaṭṭācārya. The place of composition of this manuscript is Bengal.                                                          View images from this file (28)                                    ","EAP781/1/1/9","28 TIFF Images","NA","File","Sanskrit","Bengali","15th century-16th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP781/EAP781_1_1_9/1.jp2/full/!600,300/0/default.jpg"
"10","Prāyaścittavyavasthānirṇaya","        The text deals with prāyaścitta (expiation), one of the major topics of Dharmaśāstra. 1st page is not the part of the text. It contains some list. Extent and format of original and physical characteristics: 10 Folios; Complete MS. ; Extremely fragile. The original size of the folios are 36X6 cm. Author: Not mentioned. Gopāla Nyāyapañcānana (?). The place of composition of this manuscript is Bengal.                                                          View images from this file (22)                                    ","EAP781/1/1/10","22 TIFF Images","NA","File","Sanskrit","Bengali","17th century","Access is for research purposes only.","https://images.eap.bl.uk/EAP781/EAP781_1_1_10/1.jp2/full/!600,300/0/default.jpg"
